feature_set,feature_count,model,fold,metric_scope,class_label,rows,accuracy,balanced_accuracy,macro_f1,precision,recall,f1,support,train_rows,test_rows,train_groups,test_groups,group_overlap_count
expanded154,154,logistic_balanced,1,class,normal,37,,,,0.3,0.6,0.4,5,144,37,2|3|4|5|6|7|8|9|10|11|14|15|16|17|18|19|22|23|24|25|26|27|28|29|30|31|32|33,1|12|13|20|21,0
expanded154,154,logistic_balanced,1,class,fault,37,,,,0.5625,0.6923076923076923,0.6206896551724138,13,144,37,2|3|4|5|6|7|8|9|10|11|14|15|16|17|18|19|22|23|24|25|26|27|28|29|30|31|32|33,1|12|13|20|21,0
expanded154,154,logistic_balanced,1,class,task,37,,,,0.0,0.0,0.0,7,144,37,2|3|4|5|6|7|8|9|10|11|14|15|16|17|18|19|22|23|24|25|26|27|28|29|30|31|32|33,1|12|13|20|21,0
expanded154,154,logistic_balanced,1,class,activity,37,,,,0.8888888888888888,0.6666666666666666,0.7619047619047619,12,144,37,2|3|4|5|6|7|8|9|10|11|14|15|16|17|18|19|22|23|24|25|26|27|28|29|30|31|32|33,1|12|13|20|21,0
expanded154,154,dummy_most_frequent,2,overall,all,34,0.35294117647058826,0.25,0.13043478260869565,0.08823529411764706,0.25,0.13043478260869565,34,147,34,1|2|3|4|5|6|8|10|11|12|13|14|17|18|19|20|21|22|23|24|26|27|29|30|32|33,7|9|15|16|25|28|31,0
expanded154,154,dummy_most_frequent,2,class,normal,34,,,,0.0,0.0,0.0,7,147,34,1|2|3|4|5|6|8|10|11|12|13|14|17|18|19|20|21|22|23|24|26|27|29|30|32|33,7|9|15|16|25|28|31,0
expanded154,154,dummy_most_frequent,2,class,fault,34,,,,0.35294117647058826,1.0,0.5217391304347826,12,147,34,1|2|3|4|5|6|8|10|11|12|13|14|17|18|19|20|21|22|23|24|26|27|29|30|32|33,7|9|15|16|25|28|31,0
expanded154,154,dummy_most_frequent,2,class,task,34,,,,0.0,0.0,0.0,7,147,34,1|2|3|4|5|6|8|10|11|12|13|14|17|18|19|20|21|22|23|24|26|27|29|30|32|33,7|9|15|16|25|28|31,0
expanded154,154,dummy_most_frequent,2,class,activity,34,,,,0.0,0.0,0.0,8,147,34,1|2|3|4|5|6|8|10|11|12|13|14|17|18|19|20|21|22|23|24|26|27|29|30|32|33,7|9|15|16|25|28|31,0
expanded154,154,logistic_balanced,2,overall,all,34,0.5294117647058824,0.5178571428571428,0.4551101072840203,0.42207792207792205,0.5178571428571428,0.4551101072840203,34,147,34,1|2|3|4|5|6|8|10|11|12|13|14|17|18|19|20|21|22|23|24|26|27|29|30|32|33,7|9|15|16|25|28|31,0
