dataset_id,feature,sensor,stat,coefficient_mean,coefficient_std,abs_coefficient_mean,abs_coefficient_std,rank_abs_coefficient
main_no_event20,s_hc1_supply_temperature_setpoint__last_minus_first,s_hc1_supply_temperature_setpoint,last_minus_first,0.06097829473666553,0.2083395609164429,0.1752817962223657,0.09822768484710462,34
main_no_event20,p_net_return_temperature__mean,p_net_return_temperature,mean,0.12603693472004288,0.15965570117797417,0.1740122138204078,0.08658097864029879,35
main_no_event20,p_net_supply_temperature__mean,p_net_supply_temperature,mean,0.1673651110742133,0.07558645179789064,0.1673651110742133,0.07558645179789064,36
main_no_event20,p_net_meter_flow__std,p_net_meter_flow,std,-0.12817105980395346,0.2052337243467607,0.1671435697097249,0.1665366061987299,37
main_no_event20,s_hc1_supply_temperature__mean,s_hc1_supply_temperature,mean,-0.16653015627692627,0.09289609979493596,0.16653015627692627,0.09289609979493596,38
main_no_event20,s_hc1_supply_temperature__median,s_hc1_supply_temperature,median,-0.10798563902359197,0.18344735217828076,0.16312512089332515,0.12233886333586565,39
main_no_event20,p_net_meter_energy__last_minus_first,p_net_meter_energy,last_minus_first,0.13583487912721176,0.11907016738385634,0.16193321587634302,0.06681047627529657,40
main_no_event20,p_hc1_return_temperature__max,p_hc1_return_temperature,max,0.08748316998991067,0.21889321379136875,0.16081612140084242,0.15859883103369726,41
main_no_event20,p_net_meter_energy__min,p_net_meter_energy,min,-0.149971711332607,0.09532623384472969,0.149971711332607,0.09532623384472969,42
main_no_event20,p_net_meter_energy__median,p_net_meter_energy,median,-0.14969916826376917,0.09513729728395236,0.14969916826376917,0.09513729728395236,43
main_no_event20,p_net_meter_energy__mean,p_net_meter_energy,mean,-0.14950206103161962,0.0952658536566306,0.14950206103161962,0.0952658536566306,44
main_no_event20,p_net_meter_energy__max,p_net_meter_energy,max,-0.1487757496332995,0.09548118056433919,0.1487757496332995,0.09548118056433919,45
main_no_event20,s_hc1_supply_temperature_setpoint__mean,s_hc1_supply_temperature_setpoint,mean,0.14610423307978834,0.09184826610864034,0.14647794825192803,0.09110118543046998,46
main_no_event20,p_net_meter_volume__std,p_net_meter_volume,std,0.14300487464849368,0.08231466052964409,0.14300487464849368,0.08231466052964409,47
main_no_event20,outdoor_temperature__median,outdoor_temperature,median,-0.10609066340120799,0.11738029647391592,0.13533541202825375,0.07037455428184539,48
main_no_event20,s_hc1_supply_temperature__std,s_hc1_supply_temperature,std,-0.09950903120202778,0.13448390600396,0.12655011828671398,0.10219987543809929,49
main_no_event20,p_net_return_temperature__max,p_net_return_temperature,max,-0.015298580421997795,0.15262308193547997,0.1259858200477245,0.061203184367911966,50
main_no_event20,p_net_meter_flow__mean,p_net_meter_flow,mean,0.11965594063181209,0.06094139822394704,0.11965594063181209,0.06094139822394704,51
main_no_event20,p_net_meter_heat_power__std,p_net_meter_heat_power,std,-0.017076537137742827,0.1811072763769086,0.11951213222835821,0.123735275973435,52
main_no_event20,p_net_meter_flow__median,p_net_meter_flow,median,0.06318394016266156,0.10383593357483126,0.09764600712671571,0.06207846313108108,53
main_no_event20,p_net_meter_volume__median,p_net_meter_volume,median,-0.09333767863969226,0.07438123907305498,0.09333767863969226,0.07438123907305498,54
main_no_event20,p_net_meter_volume__min,p_net_meter_volume,min,-0.0932748840090192,0.07456912515670659,0.0932748840090192,0.07456912515670659,55
main_no_event20,p_net_meter_volume__mean,p_net_meter_volume,mean,-0.09313937866950231,0.074491422315616,0.09313937866950231,0.074491422315616,56
main_no_event20,p_net_meter_volume__max,p_net_meter_volume,max,-0.09276084242294025,0.07454184643616252,0.09276084242294025,0.07454184643616252,57
main_no_event20,outdoor_temperature__mean,outdoor_temperature,mean,-0.08865269518724372,0.07205143401654517,0.08865269518724372,0.07205143401654517,58
main_no_event20,p_net_meter_volume__last_minus_first,p_net_meter_volume,last_minus_first,0.07941176330217056,0.058870938736823135,0.08211487319896403,0.05403709018444933,59
main_no_event20,p_net_meter_energy__missing_rate,p_net_meter_energy,missing_rate,-0.04074454046725902,0.06441240534162956,0.05653015756494869,0.047217915470265284,60
main_no_event20,p_net_meter_flow__missing_rate,p_net_meter_flow,missing_rate,-0.04074454046725902,0.06441240534162956,0.05653015756494869,0.047217915470265284,61
main_no_event20,p_net_meter_heat_power__missing_rate,p_net_meter_heat_power,missing_rate,-0.04074454046725902,0.06441240534162956,0.05653015756494869,0.047217915470265284,62
main_no_event20,p_net_meter_volume__missing_rate,p_net_meter_volume,missing_rate,-0.04074454046725902,0.06441240534162956,0.05653015756494869,0.047217915470265284,63
main_no_event20,p_net_return_temperature__missing_rate,p_net_return_temperature,missing_rate,-0.04074454046725902,0.06441240534162956,0.05653015756494869,0.047217915470265284,64
main_no_event20,p_net_supply_temperature__missing_rate,p_net_supply_temperature,missing_rate,-0.04074454046725902,0.06441240534162956,0.05653015756494869,0.047217915470265284,65
