dataset_id,feature,mean_coefficient,mean_abs_coefficient,std_coefficient
fault_event_no_event67,p_net_meter_heat_power__last_minus_first,-0.16228298394020096,0.16228298394020096,0.17200672302959147
fault_event_no_event67,p_net_return_temperature__std,0.1602882084482025,0.1602882084482025,0.08003324121844395
fault_event_no_event67,p_net_meter_energy__median,-0.14958981504927377,0.14958981504927377,0.10108080601365396
fault_event_no_event67,p_net_meter_energy__max,-0.1494439733329596,0.1494439733329596,0.10085347762953434
fault_event_no_event67,p_net_meter_energy__mean,-0.14941321013274456,0.14941321013274456,0.10111315897317771
fault_event_no_event67,p_net_meter_energy__min,-0.14936749214368766,0.14936749214368766,0.10147905334666629
fault_event_no_event67,p_net_supply_temperature__mean,-0.030733634968057318,0.13428788660378085,0.18703069474994477
fault_event_no_event67,p_net_supply_temperature__last_minus_first,-0.09068343677789859,0.1276598527383835,0.11226532969079024
fault_event_no_event67,p_net_meter_volume__last_minus_first,0.12677154179140326,0.12677154179140326,0.04499921227480242
fault_event_no_event67,p_net_meter_flow__last_minus_first,-0.11384292048531622,0.12534226085137073,0.1339140169800426
fault_event_no_event67,s_hc1_supply_temperature__median,-0.004081426187425729,0.12395198366998512,0.1647958113221189
fault_event_no_event67,p_net_meter_energy__missing_rate,0.12020833715516546,0.12020833715516546,0.08122268629274439
fault_event_no_event67,p_net_meter_flow__missing_rate,0.12020833715516546,0.12020833715516546,0.08122268629274439
fault_event_no_event67,p_net_meter_heat_power__missing_rate,0.12020833715516546,0.12020833715516546,0.08122268629274439
fault_event_no_event67,p_net_meter_volume__missing_rate,0.12020833715516546,0.12020833715516546,0.08122268629274439
fault_event_no_event67,p_net_return_temperature__missing_rate,0.12020833715516546,0.12020833715516546,0.08122268629274439
fault_event_no_event67,p_net_supply_temperature__missing_rate,0.12020833715516546,0.12020833715516546,0.08122268629274439
fault_event_no_event67,p_net_supply_temperature__median,-0.019921928869221894,0.11501978603728469,0.15774577692379646
fault_event_no_event67,p_hc1_return_temperature__mean,-0.02000378585113652,0.11472334918230676,0.1436833717320918
fault_event_no_event67,p_net_meter_energy__last_minus_first,-0.08824347392286733,0.10589107184565567,0.09019923679309032
fault_event_no_event67,s_hc1_supply_temperature_setpoint__mean,0.05607521614168558,0.10405225646423713,0.11137122770977055
fault_event_no_event67,p_net_meter_heat_power__median,0.03707398176197796,0.0960694775625968,0.14316541895166582
fault_event_no_event67,p_net_meter_energy__std,-0.07692773993009448,0.08973944657950605,0.07692215532788937
fault_event_no_event67,s_hc1_supply_temperature__mean,0.026576207192149343,0.07811709244143372,0.0946456751619091
fault_event_no_event67,p_net_meter_heat_power__mean,0.03362606158697347,0.06959972846028695,0.10980314155643295
fault_event_no_event67,p_net_meter_volume__mean,0.04179967121340036,0.06688922735794126,0.0951909914626817
fault_event_no_event67,p_net_meter_volume__min,0.04166969975833053,0.06685688849560448,0.09532650113114802
fault_event_no_event67,p_net_meter_volume__max,0.042025632030438284,0.06684113321325207,0.09518397191257004
fault_event_no_event67,p_net_meter_volume__median,0.04153239601841865,0.06681071179188763,0.09501785672421603
fault_event_no_event67,outdoor_temperature__missing_rate,0.0,0.0,0.0
fault_event_no_event67,p_hc1_return_temperature__missing_rate,0.0,0.0,0.0
fault_event_no_event67,s_hc1_supply_temperature__missing_rate,0.0,0.0,0.0
fault_event_no_event67,s_hc1_supply_temperature_setpoint__missing_rate,0.0,0.0,0.0
fault_event_with_unknown34,p_hc1_return_temperature__min,-0.6669133478977821,0.6669133478977821,0.24258463341357786
fault_event_with_unknown34,s_hc1_supply_temperature_setpoint__min,0.5961409219232646,0.6313510913701681,0.439044179332301
fault_event_with_unknown34,p_net_return_temperature__min,-0.5792242611904044,0.6181090722395067,0.40794125528217745
fault_event_with_unknown34,p_hc1_return_temperature__last_minus_first,-0.5951603661304935,0.5951603661304935,0.14989206521499668
fault_event_with_unknown34,s_hc1_supply_temperature_setpoint__median,-0.5500406043653132,0.5500406043653132,0.22450461735960447
fault_event_with_unknown34,p_net_return_temperature__last_minus_first,-0.5157565048668049,0.5157565048668049,0.32320800212602485
fault_event_with_unknown34,p_net_meter_flow__min,0.5004439275676573,0.5004439275676573,0.27771027474036347
fault_event_with_unknown34,s_hc1_supply_temperature_setpoint__std,-0.4933894409225289,0.4933894409225289,0.14736189677015463
fault_event_with_unknown34,p_net_meter_flow__std,-0.4360291024801969,0.48839649871455526,0.33325366790252503
fault_event_with_unknown34,p_net_meter_heat_power__max,0.4813687732878476,0.4813687732878476,0.29067245028135846
fault_event_with_unknown34,p_net_return_temperature__max,0.35747787000023296,0.4739804117543275,0.4144467228174665
fault_event_with_unknown34,s_hc1_supply_temperature__last_minus_first,0.2103324223226088,0.4627900012142637,0.4976290577077878
fault_event_with_unknown34,p_net_supply_temperature__min,-0.45574916247600905,0.45574916247600905,0.21749641801880915
fault_event_with_unknown34,outdoor_temperature__last_minus_first,0.2202594996475439,0.4496077426191608,0.4863645759446171
fault_event_with_unknown34,p_net_meter_heat_power__std,-0.27492999288204484,0.44522014755827366,0.3948054756187338
fault_event_with_unknown34,outdoor_temperature__min,-0.38105533048809764,0.43603850380456805,0.3418647121633335
fault_event_with_unknown34,s_hc1_supply_temperature__std,-0.3749035076935846,0.40049775292976425,0.3306578032792911
fault_event_with_unknown34,p_hc1_return_temperature__std,0.39836386675146906,0.39836386675146906,0.16022465904586325
fault_event_with_unknown34,p_net_meter_heat_power__min,0.13958181635160938,0.37213993775267534,0.4479076399847243
fault_event_with_unknown34,s_hc1_supply_temperature_setpoint__last_minus_first,-0.24696285212583927,0.36645441465870926,0.4054006562909061
fault_event_with_unknown34,p_net_supply_temperature__std,-0.1255225899200849,0.3635004778452898,0.460160220647268
fault_event_with_unknown34,outdoor_temperature__max,0.3190770632854322,0.32263769930428426,0.3893817329434439
fault_event_with_unknown34,outdoor_temperature__std,0.05863599711493772,0.3060880751426037,0.3614778988154051
fault_event_with_unknown34,s_hc1_supply_temperature_setpoint__max,-0.15069693391237388,0.26690636786049904,0.29435329807477767
fault_event_with_unknown34,s_hc1_supply_temperature_setpoint__mean,-0.006045469674646031,0.2657106796960499,0.30954350549411114
