dataset,target_class,window_direction,window_days,feature_set,model,rank,feature,importance_metric,importance_value,feature_missing_rate,interpretation_scope
activity_pre_3d,activity,pre,3d,compact13,random_forest_balanced_depth3,8,p_hc1_return_temperature__last_12h_mean_minus_prev_12h_mean,feature_importance,0.05967874785871259,0.0,full_dataset_fit_for_audit_only
activity_pre_3d,activity,pre,3d,compact13,random_forest_balanced_depth3,9,s_hc1_supply_temperature__last_1d_mean_minus_prev_6d_mean,feature_importance,0.04675937727097457,0.0,full_dataset_fit_for_audit_only
activity_pre_3d,activity,pre,3d,compact13,random_forest_balanced_depth3,10,s_hc1_supply_temperature__last_1d_std_minus_prev_6d_std,feature_importance,0.03570609875223185,0.0,full_dataset_fit_for_audit_only
activity_pre_3d,activity,pre,3d,compact13,random_forest_balanced_depth3,11,p_hc1_return_temperature__last_1d_mean_minus_prev_6d_mean,feature_importance,0.033485784646889984,0.0,full_dataset_fit_for_audit_only
activity_pre_3d,activity,pre,3d,compact13,random_forest_balanced_depth3,12,s_hc1_supply_temperature_error__last_minus_first,feature_importance,0.030161942835369115,0.0,full_dataset_fit_for_audit_only
activity_pre_3d,activity,pre,3d,compact13,random_forest_balanced_depth3,13,outdoor_temperature__last_6h_mean_minus_prev_6h_mean,feature_importance,0.02544457959392045,0.0,full_dataset_fit_for_audit_only
activity_pre_3d,activity,pre,3d,compact13,logistic_balanced,1,s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean,abs_coefficient,0.7768913267433223,0.0,full_dataset_fit_for_audit_only
activity_pre_3d,activity,pre,3d,compact13,logistic_balanced,2,p_net_return_temperature__last_1d_mean_minus_prev_6d_mean,abs_coefficient,0.4897642506418598,0.34146341463414637,full_dataset_fit_for_audit_only
activity_pre_3d,activity,pre,3d,compact13,logistic_balanced,3,outdoor_temperature__last_12h_mean_minus_prev_12h_mean,abs_coefficient,0.4688487170101197,0.0,full_dataset_fit_for_audit_only
activity_pre_3d,activity,pre,3d,compact13,logistic_balanced,4,s_hc1_supply_temperature__last_1d_mean_minus_prev_6d_mean,abs_coefficient,0.3516233729239015,0.0,full_dataset_fit_for_audit_only
activity_pre_3d,activity,pre,3d,compact13,logistic_balanced,5,p_return_gap__last_1d_mean_minus_prev_6d_mean,abs_coefficient,0.2344572134275528,0.34146341463414637,full_dataset_fit_for_audit_only
activity_pre_3d,activity,pre,3d,compact13,logistic_balanced,6,outdoor_temperature__last_6h_mean_minus_prev_6h_mean,abs_coefficient,0.2119897529850147,0.0,full_dataset_fit_for_audit_only
activity_pre_3d,activity,pre,3d,compact13,logistic_balanced,7,p_hc1_return_temperature__last_1d_mean_minus_prev_6d_mean,abs_coefficient,0.15847582652596814,0.0,full_dataset_fit_for_audit_only
activity_pre_3d,activity,pre,3d,compact13,logistic_balanced,8,p_net_meter_flow__last_1d_std_minus_prev_6d_std,abs_coefficient,0.11723558817326547,0.34146341463414637,full_dataset_fit_for_audit_only
activity_pre_3d,activity,pre,3d,compact13,logistic_balanced,9,s_hc1_supply_temperature__last_1d_std_minus_prev_6d_std,abs_coefficient,0.06736517261204238,0.0,full_dataset_fit_for_audit_only
activity_pre_3d,activity,pre,3d,compact13,logistic_balanced,10,outdoor_temperature__last_minus_first,abs_coefficient,0.05815827623481504,0.0,full_dataset_fit_for_audit_only
activity_pre_3d,activity,pre,3d,compact13,logistic_balanced,11,p_hc1_return_temperature__last_12h_mean_minus_prev_12h_mean,abs_coefficient,0.05240260485538066,0.0,full_dataset_fit_for_audit_only
activity_pre_3d,activity,pre,3d,compact13,logistic_balanced,12,s_hc1_supply_temperature_error__last_minus_first,abs_coefficient,0.032415519532382045,0.0,full_dataset_fit_for_audit_only
activity_pre_3d,activity,pre,3d,compact13,logistic_balanced,13,p_return_gap__last_minus_first,abs_coefficient,0.01725116635625943,0.32926829268292684,full_dataset_fit_for_audit_only
task_no_overlap,task,no_overlap,7d_no_overlap,compact13,random_forest_balanced_depth3,1,outdoor_temperature__last_6h_mean_minus_prev_6h_mean,feature_importance,0.23674128622052626,0.027777777777777776,full_dataset_fit_for_audit_only
task_no_overlap,task,no_overlap,7d_no_overlap,compact13,random_forest_balanced_depth3,2,outdoor_temperature__last_12h_mean_minus_prev_12h_mean,feature_importance,0.1161824001573477,0.027777777777777776,full_dataset_fit_for_audit_only
