threshold,rows,accuracy,balanced_accuracy,macro_f1,roc_auc,precision_target,recall_target,f1_target,normal_fpr,tn,fp,fn,tp,dataset,target_class,policy_variant,feature_set,feature_count,model,fold,metric_scope,train_rows,test_rows,train_groups,test_groups,group_overlap_count,dummy_balanced_accuracy,balanced_accuracy_lift_vs_dummy,fold_balanced_accuracy_std,fold_recall_std,fold_normal_fpr_std,logistic_balanced_accuracy,logistic_recall_target,logistic_normal_fpr,logistic_fold_ba_std,delta_ba_vs_logistic,delta_recall_vs_logistic,delta_fpr_vs_logistic,delta_fold_ba_std_vs_logistic,passes_gate_base,passes_boosting_vs_logistic,decision_candidate,target_decision,overall_decision
0.6,81,0.7530864197530864,0.7621118012422361,0.7527472527472527,0.8217391304347826,0.8421052631578947,0.6956521739130435,0.7619047619047619,0.17142857142857143,29,6,14,32,activity_no_overlap,activity,no_overlap,expanded154,154,logistic_balanced,all,aggregate,,81,,,0,0.5,0.2621118012422361,0.10338996144202847,0.12383241546615091,0.21295885499997996,0.7335403726708074,0.6956521739130435,0.22857142857142856,0.10338996144202847,0.028571428571428692,0.0,-0.057142857142857134,0.0,False,False,gate_iteration_needed,gate_iteration_needed,return_to_window_label_design
0.4,81,0.6666666666666666,0.658695652173913,0.6591865357643759,0.7819875776397516,0.7021276595744681,0.717391304347826,0.7096774193548387,0.4,21,14,13,33,activity_no_overlap,activity,no_overlap,expanded154,154,xgboost_balanced,all,aggregate,,81,,,0,0.5,0.15869565217391302,0.1467657268282639,0.13293946928708217,0.2151931843157764,0.7335403726708074,0.6956521739130435,0.22857142857142856,0.10338996144202847,-0.07484472049689439,0.021739130434782594,0.17142857142857146,0.043375765386235415,False,False,gate_iteration_needed,gate_iteration_needed,return_to_window_label_design
0.5,81,0.7037037037037037,0.7049689440993789,0.7014742014742015,0.7819875776397516,0.7619047619047619,0.6956521739130435,0.7272727272727273,0.2857142857142857,25,10,14,32,activity_no_overlap,activity,no_overlap,expanded154,154,xgboost_balanced,all,aggregate,,81,,,0,0.5,0.20496894409937894,0.1467657268282639,0.13293946928708217,0.2151931843157764,0.7335403726708074,0.6956521739130435,0.22857142857142856,0.10338996144202847,-0.02857142857142847,0.0,0.057142857142857134,0.043375765386235415,False,False,gate_iteration_needed,gate_iteration_needed,return_to_window_label_design
0.6,81,0.7407407407407407,0.7546583850931676,0.7407407407407407,0.7819875776397516,0.8571428571428571,0.6521739130434783,0.7407407407407407,0.14285714285714285,30,5,16,30,activity_no_overlap,activity,no_overlap,expanded154,154,xgboost_balanced,all,aggregate,,81,,,0,0.5,0.2546583850931676,0.1467657268282639,0.13293946928708217,0.2151931843157764,0.7335403726708074,0.6956521739130435,0.22857142857142856,0.10338996144202847,0.02111801242236022,-0.04347826086956519,-0.08571428571428572,0.043375765386235415,False,False,gate_iteration_needed,gate_iteration_needed,return_to_window_label_design
0.4,81,0.5679012345679012,0.5,0.36220472440944884,0.5,0.5679012345679012,1.0,0.7244094488188977,1.0,0,35,0,46,activity_post_all,activity,post_all,compact13,13,dummy_most_frequent,all,aggregate,,81,,,0,0.5,0.0,0.0,0.0,0.0,0.3739130434782609,0.34782608695652173,0.6,0.07029580178109762,0.12608695652173912,0.6521739130434783,0.4,-0.07029580178109762,False,False,window_label_review_required,gate_iteration_needed,return_to_window_label_design
0.5,81,0.5679012345679012,0.5,0.36220472440944884,0.5,0.5679012345679012,1.0,0.7244094488188977,1.0,0,35,0,46,activity_post_all,activity,post_all,compact13,13,dummy_most_frequent,all,aggregate,,81,,,0,0.5,0.0,0.0,0.0,0.0,0.3739130434782609,0.34782608695652173,0.6,0.07029580178109762,0.12608695652173912,0.6521739130434783,0.4,-0.07029580178109762,False,False,window_label_review_required,gate_iteration_needed,return_to_window_label_design
0.6,81,0.5679012345679012,0.5,0.36220472440944884,0.5,0.5679012345679012,1.0,0.7244094488188977,1.0,0,35,0,46,activity_post_all,activity,post_all,compact13,13,dummy_most_frequent,all,aggregate,,81,,,0,0.5,0.0,0.0,0.0,0.0,0.3739130434782609,0.34782608695652173,0.6,0.07029580178109762,0.12608695652173912,0.6521739130434783,0.4,-0.07029580178109762,False,False,window_label_review_required,gate_iteration_needed,return_to_window_label_design
0.4,81,0.6049382716049383,0.5872670807453416,0.5867346938775511,0.5875776397515527,0.6346153846153846,0.717391304347826,0.673469387755102,0.5428571428571428,16,19,13,33,activity_post_all,activity,post_all,compact13,13,lightgbm_balanced,all,aggregate,,81,,,0,0.5,0.08726708074534162,0.11934301974478434,0.20190451232888643,0.14546235613434216,0.3739130434782609,0.34782608695652173,0.6,0.07029580178109762,0.21335403726708074,0.3695652173913043,-0.05714285714285716,0.04904721796368672,False,False,window_label_review_required,gate_iteration_needed,return_to_window_label_design
0.5,81,0.5925925925925926,0.5900621118012422,0.5885793443127597,0.5875776397515527,0.6511627906976745,0.6086956521739131,0.6292134831460674,0.42857142857142855,20,15,18,28,activity_post_all,activity,post_all,compact13,13,lightgbm_balanced,all,aggregate,,81,,,0,0.5,0.09006211180124224,0.11934301974478434,0.20190451232888643,0.14546235613434216,0.3739130434782609,0.34782608695652173,0.6,0.07029580178109762,0.21614906832298136,0.26086956521739135,-0.17142857142857143,0.04904721796368672,False,False,window_label_review_required,gate_iteration_needed,return_to_window_label_design
0.6,81,0.5432098765432098,0.5534161490683229,0.5432098765432098,0.5875776397515527,0.6285714285714286,0.4782608695652174,0.5432098765432098,0.37142857142857144,22,13,24,22,activity_post_all,activity,post_all,compact13,13,lightgbm_balanced,all,aggregate,,81,,,0,0.5,0.05341614906832293,0.11934301974478434,0.20190451232888643,0.14546235613434216,0.3739130434782609,0.34782608695652173,0.6,0.07029580178109762,0.17950310559006205,0.13043478260869568,-0.22857142857142854,0.04904721796368672,False,False,window_label_review_required,gate_iteration_needed,return_to_window_label_design
