threshold,rows,accuracy,balanced_accuracy,macro_f1,roc_auc,precision_target,recall_target,f1_target,normal_fpr,tn,fp,fn,tp,dataset,target_class,policy_variant,feature_set,feature_count,model,fold,metric_scope,train_rows,test_rows,train_groups,test_groups,group_overlap_count,dummy_balanced_accuracy,balanced_accuracy_lift_vs_dummy,passes_target_recall,passes_normal_fpr,passes_dummy_lift,passes_group_overlap,passes_gate_criteria,decision_candidate,target_decision_at_t0_5
0.6,81,0.5679012345679012,0.5,0.36220472440944884,0.5,0.5679012345679012,1.0,0.7244094488188977,1.0,0,35,0,46,activity_post_all,activity,post_all,expanded154,154,dummy_most_frequent,all,aggregate,,81,,,0,0.5,0.0,True,False,False,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.4,81,0.7283950617283951,0.7130434782608696,0.7158801020408163,0.8204968944099379,0.7307692307692307,0.8260869565217391,0.7755102040816326,0.4,21,14,8,38,activity_post_all,activity,post_all,expanded154,154,extra_trees_balanced_depth3,all,aggregate,,81,,,0,0.5,0.21304347826086956,True,False,True,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.5,81,0.7283950617283951,0.7506211180124224,0.7273561811505508,0.8204968944099379,0.9,0.5869565217391305,0.7105263157894737,0.08571428571428572,32,3,19,27,activity_post_all,activity,post_all,expanded154,154,extra_trees_balanced_depth3,all,aggregate,,81,,,0,0.5,0.2506211180124224,False,True,True,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.6,81,0.6296296296296297,0.6704968944099379,0.612563775510204,0.8204968944099379,0.9444444444444444,0.3695652173913043,0.53125,0.02857142857142857,34,1,29,17,activity_post_all,activity,post_all,expanded154,154,extra_trees_balanced_depth3,all,aggregate,,81,,,0,0.5,0.17049689440993787,False,True,True,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.4,81,0.6666666666666666,0.6518633540372671,0.6531324345757336,0.7298136645962733,0.6862745098039216,0.7608695652173914,0.7216494845360825,0.45714285714285713,19,16,11,35,activity_post_all,activity,post_all,expanded154,154,logistic_balanced,all,aggregate,,81,,,0,0.5,0.15186335403726714,False,False,True,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.5,81,0.6666666666666666,0.658695652173913,0.6591865357643759,0.7298136645962733,0.7021276595744681,0.717391304347826,0.7096774193548387,0.4,21,14,13,33,activity_post_all,activity,post_all,expanded154,154,logistic_balanced,all,aggregate,,81,,,0,0.5,0.15869565217391302,False,False,True,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.6,81,0.6790123456790124,0.6798136645962733,0.6765970515970516,0.7298136645962733,0.7380952380952381,0.6739130434782609,0.7045454545454546,0.3142857142857143,24,11,15,31,activity_post_all,activity,post_all,expanded154,154,logistic_balanced,all,aggregate,,81,,,0,0.5,0.17981366459627335,False,False,True,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.4,81,0.7160493827160493,0.6987577639751552,0.7012987012987013,0.824223602484472,0.7169811320754716,0.8260869565217391,0.7676767676767676,0.42857142857142855,20,15,8,38,activity_post_all,activity,post_all,expanded154,154,random_forest_balanced_depth3,all,aggregate,,81,,,0,0.5,0.1987577639751552,True,False,True,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.5,81,0.7407407407407407,0.7478260869565218,0.7401069518716578,0.824223602484472,0.8205128205128205,0.6956521739130435,0.7529411764705882,0.2,28,7,14,32,activity_post_all,activity,post_all,expanded154,154,random_forest_balanced_depth3,all,aggregate,,81,,,0,0.5,0.24782608695652175,False,True,True,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.6,81,0.7283950617283951,0.7472049689440994,0.7280219780219781,0.824223602484472,0.875,0.6086956521739131,0.717948717948718,0.11428571428571428,31,4,18,28,activity_post_all,activity,post_all,expanded154,154,random_forest_balanced_depth3,all,aggregate,,81,,,0,0.5,0.24720496894409938,False,True,True,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.4,82,0.573170731707317,0.5,0.3643410852713178,0.5,0.573170731707317,1.0,0.7286821705426356,1.0,0,35,0,47,activity_pre_all,activity,pre_all,compact13,13,dummy_most_frequent,all,aggregate,,82,,,0,0.5,0.0,True,False,False,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.5,82,0.573170731707317,0.5,0.3643410852713178,0.5,0.573170731707317,1.0,0.7286821705426356,1.0,0,35,0,47,activity_pre_all,activity,pre_all,compact13,13,dummy_most_frequent,all,aggregate,,82,,,0,0.5,0.0,True,False,False,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.6,82,0.573170731707317,0.5,0.3643410852713178,0.5,0.573170731707317,1.0,0.7286821705426356,1.0,0,35,0,47,activity_pre_all,activity,pre_all,compact13,13,dummy_most_frequent,all,aggregate,,82,,,0,0.5,0.0,True,False,False,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.4,82,0.6341463414634146,0.5714285714285714,0.5040322580645161,0.7398176291793314,0.6103896103896104,1.0,0.7580645161290323,0.8571428571428571,5,30,0,47,activity_pre_all,activity,pre_all,compact13,13,extra_trees_balanced_depth3,all,aggregate,,82,,,0,0.5,0.0714285714285714,True,False,False,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.5,82,0.5975609756097561,0.6015197568389058,0.5960591133004927,0.7398176291793314,0.675,0.574468085106383,0.6206896551724138,0.37142857142857144,22,13,20,27,activity_pre_all,activity,pre_all,compact13,13,extra_trees_balanced_depth3,all,aggregate,,82,,,0,0.5,0.1015197568389058,False,False,False,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.6,82,0.524390243902439,0.5851063829787234,0.4665554628857381,0.7398176291793314,1.0,0.1702127659574468,0.2909090909090909,0.0,35,0,39,8,activity_pre_all,activity,pre_all,compact13,13,extra_trees_balanced_depth3,all,aggregate,,82,,,0,0.5,0.08510638297872342,False,True,False,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.4,82,0.5853658536585366,0.572644376899696,0.5729166666666667,0.5525835866261399,0.6326530612244898,0.6595744680851063,0.6458333333333334,0.5142857142857142,17,18,16,31,activity_pre_all,activity,pre_all,compact13,13,logistic_balanced,all,aggregate,,82,,,0,0.5,0.07264437689969605,False,False,False,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.5,82,0.524390243902439,0.5267477203647416,0.522615315718764,0.5525835866261399,0.6,0.5106382978723404,0.5517241379310345,0.45714285714285713,19,16,23,24,activity_pre_all,activity,pre_all,compact13,13,logistic_balanced,all,aggregate,,82,,,0,0.5,0.0267477203647416,False,False,False,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.6,82,0.5,0.5200607902735562,0.49813404985818777,0.5525835866261399,0.6,0.3829787234042553,0.4675324675324675,0.34285714285714286,23,12,29,18,activity_pre_all,activity,pre_all,compact13,13,logistic_balanced,all,aggregate,,82,,,0,0.5,0.020060790273556228,False,False,False,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.4,82,0.7195121951219512,0.6969604863221884,0.6998249243991723,0.8261398176291793,0.7142857142857143,0.851063829787234,0.7766990291262136,0.45714285714285713,19,16,7,40,activity_pre_all,activity,pre_all,compact13,13,random_forest_balanced_depth3,all,aggregate,,82,,,0,0.5,0.19696048632218843,True,False,True,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.5,82,0.7682926829268293,0.7759878419452888,0.767427974324526,0.8261398176291793,0.85,0.723404255319149,0.7816091954022989,0.17142857142857143,29,6,13,34,activity_pre_all,activity,pre_all,compact13,13,random_forest_balanced_depth3,all,aggregate,,82,,,0,0.5,0.2759878419452888,False,True,True,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.6,82,0.7195121951219512,0.7480243161094224,0.7174531835205993,0.8261398176291793,0.9285714285714286,0.5531914893617021,0.6933333333333334,0.05714285714285714,33,2,21,26,activity_pre_all,activity,pre_all,compact13,13,random_forest_balanced_depth3,all,aggregate,,82,,,0,0.5,0.24802431610942244,False,True,True,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.4,82,0.573170731707317,0.5,0.3643410852713178,0.5,0.573170731707317,1.0,0.7286821705426356,1.0,0,35,0,47,activity_pre_all,activity,pre_all,expanded154,154,dummy_most_frequent,all,aggregate,,82,,,0,0.5,0.0,True,False,False,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.5,82,0.573170731707317,0.5,0.3643410852713178,0.5,0.573170731707317,1.0,0.7286821705426356,1.0,0,35,0,47,activity_pre_all,activity,pre_all,expanded154,154,dummy_most_frequent,all,aggregate,,82,,,0,0.5,0.0,True,False,False,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.6,82,0.573170731707317,0.5,0.3643410852713178,0.5,0.573170731707317,1.0,0.7286821705426356,1.0,0,35,0,47,activity_pre_all,activity,pre_all,expanded154,154,dummy_most_frequent,all,aggregate,,82,,,0,0.5,0.0,True,False,False,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
