dataset_id,feature_strategy,model,fold,feature_count,train_rows,test_rows,train_positive_rows,test_positive_rows,train_group_count,test_group_count,group_overlap_count,threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,false_positive_rate,false_negative_rate
strict_no_event20_no_event67,expanded154,dummy_most_frequent,1,154.0,38.0,10.0,10.0,3.0,23.0,6.0,0.0,0.6,0.7,0.5,0.0,0.0,0.0,0.5,7.0,0.0,3.0,0.0,0.0,1.0
strict_no_event20_no_event67,expanded154,logistic_balanced,1,154.0,38.0,10.0,10.0,3.0,23.0,6.0,0.0,0.6,0.9,0.9285714285714286,0.75,1.0,0.8571428571428571,1.0,6.0,1.0,0.0,3.0,0.14285714285714285,0.0
strict_no_event20_no_event67,locked_compact13,dummy_most_frequent,1,13.0,38.0,10.0,10.0,3.0,23.0,6.0,0.0,0.6,0.7,0.5,0.0,0.0,0.0,0.5,7.0,0.0,3.0,0.0,0.0,1.0
strict_no_event20_no_event67,locked_compact13,logistic_balanced,1,13.0,38.0,10.0,10.0,3.0,23.0,6.0,0.0,0.6,0.9,0.9285714285714286,0.75,1.0,0.8571428571428571,1.0,6.0,1.0,0.0,3.0,0.14285714285714285,0.0
strict_no_event20_no_event67,fold_selected_compact13,dummy_most_frequent,1,13.0,38.0,10.0,10.0,3.0,23.0,6.0,0.0,0.6,0.7,0.5,0.0,0.0,0.0,0.5,7.0,0.0,3.0,0.0,0.0,1.0
strict_no_event20_no_event67,fold_selected_compact13,logistic_balanced,1,13.0,38.0,10.0,10.0,3.0,23.0,6.0,0.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,7.0,0.0,0.0,3.0,0.0,0.0
strict_no_event20_no_event67,expanded154,dummy_most_frequent,2,154.0,37.0,11.0,10.0,3.0,23.0,6.0,0.0,0.6,0.7272727272727273,0.5,0.0,0.0,0.0,0.5,8.0,0.0,3.0,0.0,0.0,1.0
strict_no_event20_no_event67,expanded154,logistic_balanced,2,154.0,37.0,11.0,10.0,3.0,23.0,6.0,0.0,0.6,0.7272727272727273,0.5,0.0,0.0,0.0,0.75,8.0,0.0,3.0,0.0,0.0,1.0
strict_no_event20_no_event67,locked_compact13,dummy_most_frequent,2,13.0,37.0,11.0,10.0,3.0,23.0,6.0,0.0,0.6,0.7272727272727273,0.5,0.0,0.0,0.0,0.5,8.0,0.0,3.0,0.0,0.0,1.0
strict_no_event20_no_event67,locked_compact13,logistic_balanced,2,13.0,37.0,11.0,10.0,3.0,23.0,6.0,0.0,0.6,0.9090909090909091,0.8333333333333333,1.0,0.6666666666666666,0.8,0.9166666666666666,8.0,0.0,1.0,2.0,0.0,0.3333333333333333
strict_no_event20_no_event67,fold_selected_compact13,dummy_most_frequent,2,13.0,37.0,11.0,10.0,3.0,23.0,6.0,0.0,0.6,0.7272727272727273,0.5,0.0,0.0,0.0,0.5,8.0,0.0,3.0,0.0,0.0,1.0
strict_no_event20_no_event67,fold_selected_compact13,logistic_balanced,2,13.0,37.0,11.0,10.0,3.0,23.0,6.0,0.0,0.6,0.9090909090909091,0.8333333333333333,1.0,0.6666666666666666,0.8,0.75,8.0,0.0,1.0,2.0,0.0,0.3333333333333333
strict_no_event20_no_event67,expanded154,dummy_most_frequent,3,154.0,39.0,9.0,11.0,2.0,24.0,5.0,0.0,0.6,0.7777777777777778,0.5,0.0,0.0,0.0,0.5,7.0,0.0,2.0,0.0,0.0,1.0
strict_no_event20_no_event67,expanded154,logistic_balanced,3,154.0,39.0,9.0,11.0,2.0,24.0,5.0,0.0,0.6,0.6666666666666666,0.6071428571428572,0.3333333333333333,0.5,0.4,0.6428571428571428,5.0,2.0,1.0,1.0,0.2857142857142857,0.5
strict_no_event20_no_event67,locked_compact13,dummy_most_frequent,3,13.0,39.0,9.0,11.0,2.0,24.0,5.0,0.0,0.6,0.7777777777777778,0.5,0.0,0.0,0.0,0.5,7.0,0.0,2.0,0.0,0.0,1.0
strict_no_event20_no_event67,locked_compact13,logistic_balanced,3,13.0,39.0,9.0,11.0,2.0,24.0,5.0,0.0,0.6,0.7777777777777778,0.6785714285714286,0.5,0.5,0.5,0.9285714285714286,6.0,1.0,1.0,1.0,0.14285714285714285,0.5
strict_no_event20_no_event67,fold_selected_compact13,dummy_most_frequent,3,13.0,39.0,9.0,11.0,2.0,24.0,5.0,0.0,0.6,0.7777777777777778,0.5,0.0,0.0,0.0,0.5,7.0,0.0,2.0,0.0,0.0,1.0
