model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,candidate_id,scenario,normal_policy,positive_policy,fold,train_rows,test_rows,train_groups,test_groups,test_normal,test_efd_possible
logistic_balanced,0.5555555555555556,0.5833333333333333,0.4,0.6666666666666666,0.5,0.5555555555555556,3,3,1,2,anomaly_start_plus_7d,all,normal_7d,anomaly_start_plus_7d,1,41,9,24,5,6,3
dummy_most_frequent,0.6666666666666666,0.5,0.0,0.0,0.0,0.5,6,0,3,0,anomaly_start_plus_7d,all,normal_7d,anomaly_start_plus_7d,2,41,9,24,5,6,3
logistic_balanced,0.5555555555555556,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4444444444444444,4,2,2,1,anomaly_start_plus_7d,all,normal_7d,anomaly_start_plus_7d,2,41,9,24,5,6,3
dummy_most_frequent,0.7272727272727273,0.5,0.0,0.0,0.0,0.5,8,0,3,0,anomaly_start_plus_7d,all,normal_7d,anomaly_start_plus_7d,3,39,11,23,6,8,3
logistic_balanced,0.6363636363636364,0.6458333333333333,0.4,0.6666666666666666,0.5,0.5833333333333333,5,3,1,2,anomaly_start_plus_7d,all,normal_7d,anomaly_start_plus_7d,3,39,11,23,6,8,3
dummy_most_frequent,0.7272727272727273,0.5,0.0,0.0,0.0,0.5,8,0,3,0,anomaly_start_plus_7d,all,normal_7d,anomaly_start_plus_7d,4,39,11,22,7,8,3
logistic_balanced,0.9090909090909091,0.9375,0.75,1.0,0.8571428571428571,1.0,7,1,0,3,anomaly_start_plus_7d,all,normal_7d,anomaly_start_plus_7d,4,39,11,22,7,8,3
dummy_most_frequent,0.7,0.5,0.0,0.0,0.0,0.5,7,0,3,0,anomaly_start_plus_7d,all,normal_7d,anomaly_start_plus_7d,5,40,10,23,6,7,3
logistic_balanced,0.6,0.5238095238095238,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7142857142857143,5,2,2,1,anomaly_start_plus_7d,all,normal_7d,anomaly_start_plus_7d,5,40,10,23,6,7,3
dummy_most_frequent,0.6666666666666666,0.5,0.0,0.0,0.0,0.5,6,0,3,0,anomaly_start_plus_7d,no_event67,normal_7d,anomaly_start_plus_7d,1,40,9,24,5,6,3
logistic_balanced,0.5555555555555556,0.5833333333333333,0.4,0.6666666666666666,0.5,0.5555555555555556,3,3,1,2,anomaly_start_plus_7d,no_event67,normal_7d,anomaly_start_plus_7d,1,40,9,24,5,6,3
dummy_most_frequent,0.7272727272727273,0.5,0.0,0.0,0.0,0.5,8,0,3,0,anomaly_start_plus_7d,no_event67,normal_7d,anomaly_start_plus_7d,2,38,11,24,5,8,3
logistic_balanced,0.7272727272727273,0.7083333333333333,0.5,0.6666666666666666,0.5714285714285714,0.7083333333333333,6,2,1,2,anomaly_start_plus_7d,no_event67,normal_7d,anomaly_start_plus_7d,2,38,11,24,5,8,3
dummy_most_frequent,0.7272727272727273,0.5,0.0,0.0,0.0,0.5,8,0,3,0,anomaly_start_plus_7d,no_event67,normal_7d,anomaly_start_plus_7d,3,38,11,22,7,8,3
logistic_balanced,0.5454545454545454,0.47916666666666663,0.25,0.3333333333333333,0.2857142857142857,0.5,5,3,2,1,anomaly_start_plus_7d,no_event67,normal_7d,anomaly_start_plus_7d,3,38,11,22,7,8,3
dummy_most_frequent,0.7777777777777778,0.5,0.0,0.0,0.0,0.5,7,0,2,0,anomaly_start_plus_7d,no_event67,normal_7d,anomaly_start_plus_7d,4,40,9,23,6,7,2
logistic_balanced,0.8888888888888888,0.9285714285714286,0.6666666666666666,1.0,0.8,1.0,6,1,0,2,anomaly_start_plus_7d,no_event67,normal_7d,anomaly_start_plus_7d,4,40,9,23,6,7,2
dummy_most_frequent,0.6666666666666666,0.5,0.0,0.0,0.0,0.5,6,0,3,0,anomaly_start_plus_7d,no_event67,normal_7d,anomaly_start_plus_7d,5,40,9,23,6,6,3
logistic_balanced,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.5714285714285714,0.7777777777777779,4,2,1,2,anomaly_start_plus_7d,no_event67,normal_7d,anomaly_start_plus_7d,5,40,9,23,6,6,3
