dataset,target_class,feature_set,feature_count,model,fold,metric_scope,train_rows,test_rows,train_groups,test_groups,group_overlap_count,threshold,rows,accuracy,balanced_accuracy,macro_f1,roc_auc,normal_precision,normal_recall,normal_f1,target_precision,target_recall,target_f1,normal_support,target_support,normal_fpr,tn,fp,fn,tp
fault_no_overlap,fault,expanded154,154,lightgbm_balanced,4,fold,72.0,18,1|3|4|5|6|7|8|9|14|15|16|17|18|19|20|21|22|23|24|25|26|28|30|32,2|11|12|13|27|29|31,0,0.45,18,0.7777777777777778,0.7402597402597402,0.75,0.8441558441558441,0.8,0.5714285714285714,0.6666666666666666,0.7692307692307693,0.9090909090909091,0.8333333333333334,7,11,0.42857142857142855,4,3,1,10
fault_no_overlap,fault,expanded154,154,lightgbm_balanced,4,fold,72.0,18,1|3|4|5|6|7|8|9|14|15|16|17|18|19|20|21|22|23|24|25|26|28|30|32,2|11|12|13|27|29|31,0,0.5,18,0.7777777777777778,0.7922077922077921,0.775,0.8441558441558441,0.6666666666666666,0.8571428571428571,0.75,0.8888888888888888,0.7272727272727273,0.8,7,11,0.14285714285714285,6,1,3,8
fault_no_overlap,fault,expanded154,154,lightgbm_balanced,4,fold,72.0,18,1|3|4|5|6|7|8|9|14|15|16|17|18|19|20|21|22|23|24|25|26|28|30|32,2|11|12|13|27|29|31,0,0.55,18,0.7777777777777778,0.7922077922077921,0.775,0.8441558441558441,0.6666666666666666,0.8571428571428571,0.75,0.8888888888888888,0.7272727272727273,0.8,7,11,0.14285714285714285,6,1,3,8
fault_no_overlap,fault,expanded154,154,lightgbm_balanced,4,fold,72.0,18,1|3|4|5|6|7|8|9|14|15|16|17|18|19|20|21|22|23|24|25|26|28|30|32,2|11|12|13|27|29|31,0,0.6,18,0.7777777777777778,0.7922077922077921,0.775,0.8441558441558441,0.6666666666666666,0.8571428571428571,0.75,0.8888888888888888,0.7272727272727273,0.8,7,11,0.14285714285714285,6,1,3,8
fault_no_overlap,fault,expanded154,154,lightgbm_balanced,5,fold,72.0,18,1|2|3|5|6|7|8|9|11|12|13|15|16|17|18|19|20|21|23|25|27|28|29|31,4|14|22|24|26|30|32,0,0.45,18,0.8333333333333334,0.8116883116883117,0.8193979933110368,0.935064935064935,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.8333333333333334,0.9090909090909091,0.8695652173913043,7,11,0.2857142857142857,5,2,1,10
fault_no_overlap,fault,expanded154,154,lightgbm_balanced,5,fold,72.0,18,1|2|3|5|6|7|8|9|11|12|13|15|16|17|18|19|20|21|23|25|27|28|29|31,4|14|22|24|26|30|32,0,0.5,18,0.7777777777777778,0.7662337662337663,0.7662337662337663,0.935064935064935,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8181818181818182,0.8181818181818182,0.8181818181818182,7,11,0.2857142857142857,5,2,2,9
fault_no_overlap,fault,expanded154,154,lightgbm_balanced,5,fold,72.0,18,1|2|3|5|6|7|8|9|11|12|13|15|16|17|18|19|20|21|23|25|27|28|29|31,4|14|22|24|26|30|32,0,0.55,18,0.7777777777777778,0.7922077922077921,0.775,0.935064935064935,0.6666666666666666,0.8571428571428571,0.75,0.8888888888888888,0.7272727272727273,0.8,7,11,0.14285714285714285,6,1,3,8
fault_no_overlap,fault,expanded154,154,lightgbm_balanced,5,fold,72.0,18,1|2|3|5|6|7|8|9|11|12|13|15|16|17|18|19|20|21|23|25|27|28|29|31,4|14|22|24|26|30|32,0,0.6,18,0.8333333333333334,0.8636363636363636,0.8328173374613003,0.935064935064935,0.7,1.0,0.8235294117647058,1.0,0.7272727272727273,0.8421052631578947,7,11,0.0,7,0,3,8
fault_no_overlap,fault,expanded154,154,lightgbm_balanced,all,aggregate,,90,,,0,0.45,90,0.8333333333333334,0.8064935064935065,0.8168498168498168,0.8950649350649351,0.8571428571428571,0.6857142857142857,0.7619047619047619,0.8225806451612904,0.9272727272727272,0.8717948717948718,35,55,0.3142857142857143,24,11,4,51
fault_no_overlap,fault,expanded154,154,lightgbm_balanced,all,aggregate,,90,,,0,0.5,90,0.8222222222222222,0.8077922077922077,0.8109243697478992,0.8950649350649351,0.7878787878787878,0.7428571428571429,0.7647058823529411,0.8421052631578947,0.8727272727272727,0.8571428571428571,35,55,0.2571428571428571,26,9,7,48
fault_no_overlap,fault,expanded154,154,lightgbm_balanced,all,aggregate,,90,,,0,0.55,90,0.8111111111111111,0.8038961038961039,0.8023000387646984,0.8950649350649351,0.75,0.7714285714285715,0.7605633802816901,0.8518518518518519,0.8363636363636363,0.8440366972477065,35,55,0.22857142857142856,27,8,9,46
fault_no_overlap,fault,expanded154,154,lightgbm_balanced,all,aggregate,,90,,,0,0.6,90,0.8333333333333334,0.8324675324675325,0.8271668160286775,0.8950649350649351,0.7631578947368421,0.8285714285714286,0.7945205479452054,0.8846153846153846,0.8363636363636363,0.8598130841121495,35,55,0.17142857142857143,29,6,9,46
