threshold,rows,accuracy,balanced_accuracy,roc_auc,precision_event,recall_event,f1_event,normal_fpr,tn,fp,fn,tp,dataset,feature_set,feature_count,model,fold,metric_scope,train_rows,train_extra_rows_used,test_rows,train_groups,test_groups,group_overlap_count,dummy_balanced_accuracy,balanced_accuracy_lift_vs_dummy,passes_event_recall,passes_normal_fpr,passes_dummy_lift,passes_group_overlap,passes_gate_criteria,decision_candidate,overall_decision_at_t0_5
0.5,181,0.6685082872928176,0.7076320939334638,0.7727984344422701,0.9215686274509803,0.6438356164383562,0.7580645161290323,0.22857142857142856,27,8,52,94,reference_pre_event_all,compact13,13,extra_trees_balanced_depth3,all,aggregate,,0,181,,,0,0.5,0.20763209393346382,False,True,True,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
0.6,181,0.3314917127071823,0.5747553816046966,0.7727984344422701,0.9629629629629629,0.1780821917808219,0.30057803468208094,0.02857142857142857,34,1,120,26,reference_pre_event_all,compact13,13,extra_trees_balanced_depth3,all,aggregate,,0,181,,,0,0.5,0.07475538160469664,False,True,False,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
0.4,181,0.712707182320442,0.6481409001956947,0.7001956947162427,0.873015873015873,0.7534246575342466,0.8088235294117647,0.45714285714285713,19,16,36,110,reference_pre_event_all,compact13,13,logistic_balanced,all,aggregate,,0,181,,,0,0.5,0.1481409001956947,False,False,False,True,False,normal_vs_event_gate_unstable_keep_pre_event_binary,gate_policy_iteration_needed
0.5,181,0.6464088397790055,0.6504892367906067,0.7001956947162427,0.8867924528301887,0.6438356164383562,0.746031746031746,0.34285714285714286,23,12,52,94,reference_pre_event_all,compact13,13,logistic_balanced,all,aggregate,,0,181,,,0,0.5,0.15048923679060666,False,False,True,True,False,normal_vs_event_gate_unstable_keep_pre_event_binary,gate_policy_iteration_needed
0.6,181,0.56353591160221,0.6317025440313111,0.7001956947162427,0.8941176470588236,0.5205479452054794,0.658008658008658,0.2571428571428571,26,9,70,76,reference_pre_event_all,compact13,13,logistic_balanced,all,aggregate,,0,181,,,0,0.5,0.1317025440313111,False,False,False,True,False,normal_vs_event_gate_unstable_keep_pre_event_binary,gate_policy_iteration_needed
0.4,181,0.7900552486187845,0.5983365949119374,0.7111545988258318,0.8417721518987342,0.910958904109589,0.875,0.7142857142857143,10,25,13,133,reference_pre_event_all,compact13,13,random_forest_balanced_depth3,all,aggregate,,0,181,,,0,0.5,0.09833659491193736,True,False,False,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
0.5,181,0.7071823204419889,0.6338551859099804,0.7111545988258318,0.8661417322834646,0.7534246575342466,0.8058608058608059,0.4857142857142857,18,17,36,110,reference_pre_event_all,compact13,13,random_forest_balanced_depth3,all,aggregate,,0,181,,,0,0.5,0.13385518590998036,False,False,False,True,False,normal_vs_event_gate_unstable_keep_pre_event_binary,gate_policy_iteration_needed
0.6,181,0.6022099447513812,0.6448140900195695,0.7111545988258318,0.8936170212765957,0.5753424657534246,0.7,0.2857142857142857,25,10,62,84,reference_pre_event_all,compact13,13,random_forest_balanced_depth3,all,aggregate,,0,181,,,0,0.5,0.14481409001956946,False,False,False,True,False,normal_vs_event_gate_unstable_keep_pre_event_binary,gate_policy_iteration_needed
0.4,181,0.8066298342541437,0.5,0.5,0.8066298342541437,1.0,0.8929663608562691,1.0,0,35,0,146,reference_pre_event_all,expanded154,154,dummy_most_frequent,all,aggregate,,0,181,,,0,0.5,0.0,True,False,False,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
0.5,181,0.8066298342541437,0.5,0.5,0.8066298342541437,1.0,0.8929663608562691,1.0,0,35,0,146,reference_pre_event_all,expanded154,154,dummy_most_frequent,all,aggregate,,0,181,,,0,0.5,0.0,True,False,False,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
0.6,181,0.8066298342541437,0.5,0.5,0.8066298342541437,1.0,0.8929663608562691,1.0,0,35,0,146,reference_pre_event_all,expanded154,154,dummy_most_frequent,all,aggregate,,0,181,,,0,0.5,0.0,True,False,False,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
0.4,181,0.8011049723756906,0.5617416829745597,0.7812133072407045,0.8273809523809523,0.952054794520548,0.8853503184713376,0.8285714285714286,6,29,7,139,reference_pre_event_all,expanded154,154,extra_trees_balanced_depth3,all,aggregate,,0,181,,,0,0.5,0.06174168297455973,True,False,False,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
0.5,181,0.56353591160221,0.6968688845401174,0.7812133072407045,0.958904109589041,0.4794520547945205,0.639269406392694,0.08571428571428572,32,3,76,70,reference_pre_event_all,expanded154,154,extra_trees_balanced_depth3,all,aggregate,,0,181,,,0,0.5,0.19686888454011742,False,True,True,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
0.6,181,0.4530386740331492,0.6500978473581214,0.7812133072407045,0.9795918367346939,0.3287671232876712,0.49230769230769234,0.02857142857142857,34,1,98,48,reference_pre_event_all,expanded154,154,extra_trees_balanced_depth3,all,aggregate,,0,181,,,0,0.5,0.15009784735812137,False,True,True,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
0.4,181,0.7348066298342542,0.6183953033268101,0.6990215264187867,0.855072463768116,0.8082191780821918,0.8309859154929577,0.5714285714285714,15,20,28,118,reference_pre_event_all,expanded154,154,logistic_balanced,all,aggregate,,0,181,,,0,0.5,0.11839530332681014,True,False,False,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
0.5,181,0.7071823204419889,0.612133072407045,0.6990215264187867,0.8549618320610687,0.7671232876712328,0.8086642599277978,0.5428571428571428,16,19,34,112,reference_pre_event_all,expanded154,154,logistic_balanced,all,aggregate,,0,181,,,0,0.5,0.11213307240704495,False,False,False,True,False,normal_vs_event_gate_unstable_keep_pre_event_binary,gate_policy_iteration_needed
0.6,181,0.6850828729281768,0.6201565557729941,0.6990215264187867,0.8617886178861789,0.726027397260274,0.7881040892193308,0.4857142857142857,18,17,40,106,reference_pre_event_all,expanded154,154,logistic_balanced,all,aggregate,,0,181,,,0,0.5,0.12015655577299411,False,False,False,True,False,normal_vs_event_gate_unstable_keep_pre_event_binary,gate_policy_iteration_needed
0.4,181,0.8176795580110497,0.6045988258317025,0.7933463796477493,0.8424242424242424,0.952054794520548,0.8938906752411575,0.7428571428571429,9,26,7,139,reference_pre_event_all,expanded154,154,random_forest_balanced_depth3,all,aggregate,,0,181,,,0,0.5,0.10459882583170255,True,False,False,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
0.5,181,0.7679558011049724,0.7258317025440313,0.7933463796477493,0.90625,0.7945205479452054,0.8467153284671532,0.34285714285714286,23,12,30,116,reference_pre_event_all,expanded154,154,random_forest_balanced_depth3,all,aggregate,,0,181,,,0,0.5,0.2258317025440313,False,False,True,True,False,normal_vs_event_gate_unstable_keep_pre_event_binary,gate_policy_iteration_needed
0.6,181,0.6464088397790055,0.7373776908023484,0.7933463796477493,0.9555555555555556,0.589041095890411,0.7288135593220338,0.11428571428571428,31,4,60,86,reference_pre_event_all,expanded154,154,random_forest_balanced_depth3,all,aggregate,,0,181,,,0,0.5,0.23737769080234838,False,True,True,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
0.4,173,0.7976878612716763,0.5,0.5,0.7976878612716763,1.0,0.887459807073955,1.0,0,35,0,138,strict_no_overlap,compact13,13,dummy_most_frequent,all,aggregate,,0,173,,,0,0.5,0.0,True,False,False,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
0.5,173,0.7976878612716763,0.5,0.5,0.7976878612716763,1.0,0.887459807073955,1.0,0,35,0,138,strict_no_overlap,compact13,13,dummy_most_frequent,all,aggregate,,0,173,,,0,0.5,0.0,True,False,False,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
0.6,173,0.7976878612716763,0.5,0.5,0.7976878612716763,1.0,0.887459807073955,1.0,0,35,0,138,strict_no_overlap,compact13,13,dummy_most_frequent,all,aggregate,,0,173,,,0,0.5,0.0,True,False,False,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
0.4,173,0.7976878612716763,0.5,0.7474120082815735,0.7976878612716763,1.0,0.887459807073955,1.0,0,35,0,138,strict_no_overlap,compact13,13,extra_trees_balanced_depth3,all,aggregate,,0,173,,,0,0.5,0.0,True,False,False,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
0.5,173,0.6589595375722543,0.668944099378882,0.7474120082815735,0.8910891089108911,0.6521739130434783,0.7531380753138075,0.3142857142857143,24,11,48,90,strict_no_overlap,compact13,13,extra_trees_balanced_depth3,all,aggregate,,0,173,,,0,0.5,0.168944099378882,False,False,True,True,False,normal_vs_event_gate_unstable_keep_pre_event_binary,gate_policy_iteration_needed
0.6,173,0.36416184971098264,0.5801242236024845,0.7474120082815735,0.9375,0.21739130434782608,0.35294117647058826,0.05714285714285714,33,2,108,30,strict_no_overlap,compact13,13,extra_trees_balanced_depth3,all,aggregate,,0,173,,,0,0.5,0.0801242236024845,False,True,False,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
