accuracy,balanced_accuracy,precision,recall,f1,roc_auc,true_negative_count,false_positive_count,false_negative_count,true_positive_count,false_positive_rate,false_negative_rate,dataset_id,feature_set,feature_count,train_mode,model,fold,threshold,fixed_train_rows,candidate_train_rows_x,test_rows,test_normal_rows,test_fault_rows,train_groups,test_groups,candidate_train_rows_y,group_overlap_count
0.7272727272727273,0.7333333333333334,0.6666666666666666,0.8,0.7272727272727273,0.8333333333333334,4,2,1,4,0.3333333333333333,0.2,fault_with_unknown34,expanded154,154,candidate_normal_train,logistic_balanced,4,0.5,55,60,11,6,5,1|2|3|4|5|6|7|8|9|11|12|14|15|16|17|19|21|23|24|25|26|27|28|29|30|31,10|13|18|20|22,60,0
0.7272727272727273,0.7333333333333334,0.6666666666666666,0.8,0.7272727272727273,0.8333333333333334,4,2,1,4,0.3333333333333333,0.2,fault_with_unknown34,expanded154,154,candidate_normal_train,logistic_balanced,4,0.6,55,60,11,6,5,1|2|3|4|5|6|7|8|9|11|12|14|15|16|17|19|21|23|24|25|26|27|28|29|30|31,10|13|18|20|22,60,0
0.6666666666666666,0.6607142857142857,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.7857142857142857,6,2,3,4,0.25,0.42857142857142855,fault_with_unknown34,expanded154,154,candidate_normal_train,logistic_balanced,5,0.5,51,52,15,8,7,1|2|3|4|5|7|8|9|10|12|13|14|17|18|19|20|21|22|24|25|26|29,6|11|15|16|23|27|28|30|31,52,0
0.6666666666666666,0.6607142857142857,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.7857142857142857,6,2,3,4,0.25,0.42857142857142855,fault_with_unknown34,expanded154,154,candidate_normal_train,logistic_balanced,5,0.6,51,52,15,8,7,1|2|3|4|5|7|8|9|10|12|13|14|17|18|19|20|21|22|24|25|26|29,6|11|15|16|23|27|28|30|31,52,0
0.5,0.5,0.0,0.0,0.0,0.5,6,0,6,0,0.0,1.0,fault_no_event67,compact13,13,fixed_only,dummy_most_frequent,1,0.5,52,0,12,6,6,1|2|4|5|7|9|10|11|12|13|15|16|17|18|19|20|22|23|24|26|27|28|29|30|31,3|6|8|14|21|25,0,0
0.5,0.5,0.0,0.0,0.0,0.5,6,0,6,0,0.0,1.0,fault_no_event67,compact13,13,fixed_only,dummy_most_frequent,1,0.6,52,0,12,6,6,1|2|4|5|7|9|10|11|12|13|15|16|17|18|19|20|22|23|24|26|27|28|29|30|31,3|6|8|14|21|25,0,0
0.5833333333333334,0.5,0.0,0.0,0.0,0.5,7,0,5,0,0.0,1.0,fault_no_event67,compact13,13,fixed_only,dummy_most_frequent,2,0.5,52,0,12,7,5,1|2|3|4|6|7|8|9|10|11|12|13|14|15|16|17|18|21|22|23|25|27|28|29|30|31,5|19|20|24|26,0,0
0.5833333333333334,0.5,0.0,0.0,0.0,0.5,7,0,5,0,0.0,1.0,fault_no_event67,compact13,13,fixed_only,dummy_most_frequent,2,0.6,52,0,12,7,5,1|2|3|4|6|7|8|9|10|11|12|13|14|15|16|17|18|21|22|23|25|27|28|29|30|31,5|19|20|24|26,0,0
0.5454545454545454,0.5,0.0,0.0,0.0,0.5,6,0,5,0,0.0,1.0,fault_no_event67,compact13,13,fixed_only,dummy_most_frequent,3,0.5,53,0,11,6,5,3|4|5|6|8|9|10|11|12|13|14|15|16|17|19|20|21|22|24|25|26|28|29|31,1|2|7|18|23|27|30,0,0
0.5454545454545454,0.5,0.0,0.0,0.0,0.5,6,0,5,0,0.0,1.0,fault_no_event67,compact13,13,fixed_only,dummy_most_frequent,3,0.6,53,0,11,6,5,3|4|5|6|8|9|10|11|12|13|14|15|16|17|19|20|21|22|24|25|26|28|29|31,1|2|7|18|23|27|30,0,0
