dataset,feature_variant,model,rank,feature,importance_metric,importance_value,feature_missing_rate,interpretation_scope
activity_post_1d,compact13,random_forest_balanced_depth3,2,p_net_return_temperature__last_1d_mean_minus_prev_6d_mean,feature_importance,0.14370162313205628,0.5679012345679012,full_dataset_fit_for_audit_only
activity_post_1d,compact13,random_forest_balanced_depth3,3,p_return_gap__last_1d_mean_minus_prev_6d_mean,feature_importance,0.13624166942955948,0.5679012345679012,full_dataset_fit_for_audit_only
activity_post_1d,compact13,random_forest_balanced_depth3,4,s_hc1_supply_temperature__last_1d_mean_minus_prev_6d_mean,feature_importance,0.13522999479395106,0.5679012345679012,full_dataset_fit_for_audit_only
activity_post_1d,compact13,random_forest_balanced_depth3,5,s_hc1_supply_temperature__last_1d_std_minus_prev_6d_std,feature_importance,0.1263323481860767,0.5679012345679012,full_dataset_fit_for_audit_only
activity_post_1d,compact13,random_forest_balanced_depth3,6,s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean,feature_importance,0.12546888314077198,0.5679012345679012,full_dataset_fit_for_audit_only
activity_post_1d,compact13,random_forest_balanced_depth3,7,p_net_meter_flow__last_1d_std_minus_prev_6d_std,feature_importance,0.12269036537436605,0.5679012345679012,full_dataset_fit_for_audit_only
activity_post_1d,compact13,random_forest_balanced_depth3,8,outdoor_temperature__last_minus_first,feature_importance,0.04485255783117039,0.0,full_dataset_fit_for_audit_only
activity_post_1d,compact13,random_forest_balanced_depth3,9,p_return_gap__last_minus_first,feature_importance,0.008797411063378294,0.2222222222222222,full_dataset_fit_for_audit_only
activity_post_1d,compact13,random_forest_balanced_depth3,10,outdoor_temperature__last_12h_mean_minus_prev_12h_mean,feature_importance,0.004466715888765672,0.0,full_dataset_fit_for_audit_only
activity_post_1d,compact13,random_forest_balanced_depth3,11,s_hc1_supply_temperature_error__last_minus_first,feature_importance,0.004225255584003764,0.0,full_dataset_fit_for_audit_only
activity_post_1d,compact13,random_forest_balanced_depth3,12,outdoor_temperature__last_6h_mean_minus_prev_6h_mean,feature_importance,0.002253872072876043,0.0,full_dataset_fit_for_audit_only
activity_post_1d,compact13,random_forest_balanced_depth3,13,p_hc1_return_temperature__last_12h_mean_minus_prev_12h_mean,feature_importance,0.00144397081321664,0.0,full_dataset_fit_for_audit_only
activity_post_1d,compact13,logistic_balanced,1,s_hc1_supply_temperature__last_1d_std_minus_prev_6d_std,abs_coefficient,0.6476898203885157,0.5679012345679012,full_dataset_fit_for_audit_only
activity_post_1d,compact13,logistic_balanced,2,outdoor_temperature__last_minus_first,abs_coefficient,0.5676167552823932,0.0,full_dataset_fit_for_audit_only
activity_post_1d,compact13,logistic_balanced,3,p_return_gap__last_1d_mean_minus_prev_6d_mean,abs_coefficient,0.5564388095022831,0.5679012345679012,full_dataset_fit_for_audit_only
activity_post_1d,compact13,logistic_balanced,4,p_hc1_return_temperature__last_1d_mean_minus_prev_6d_mean,abs_coefficient,0.461275797118845,0.5679012345679012,full_dataset_fit_for_audit_only
activity_post_1d,compact13,logistic_balanced,5,s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean,abs_coefficient,0.42936320386937765,0.5679012345679012,full_dataset_fit_for_audit_only
activity_post_1d,compact13,logistic_balanced,6,p_net_return_temperature__last_1d_mean_minus_prev_6d_mean,abs_coefficient,0.23259697678512298,0.5679012345679012,full_dataset_fit_for_audit_only
activity_post_1d,compact13,logistic_balanced,7,s_hc1_supply_temperature__last_1d_mean_minus_prev_6d_mean,abs_coefficient,0.22871849473186912,0.5679012345679012,full_dataset_fit_for_audit_only
activity_post_1d,compact13,logistic_balanced,8,outdoor_temperature__last_12h_mean_minus_prev_12h_mean,abs_coefficient,0.19989674267936663,0.0,full_dataset_fit_for_audit_only
activity_post_1d,compact13,logistic_balanced,9,p_hc1_return_temperature__last_12h_mean_minus_prev_12h_mean,abs_coefficient,0.12414001044217478,0.0,full_dataset_fit_for_audit_only
activity_post_1d,compact13,logistic_balanced,10,p_net_meter_flow__last_1d_std_minus_prev_6d_std,abs_coefficient,0.11239099372505947,0.5679012345679012,full_dataset_fit_for_audit_only
activity_post_1d,compact13,logistic_balanced,11,p_return_gap__last_minus_first,abs_coefficient,0.025934888552497763,0.2222222222222222,full_dataset_fit_for_audit_only
activity_post_1d,compact13,logistic_balanced,12,s_hc1_supply_temperature_error__last_minus_first,abs_coefficient,0.0238665213297438,0.0,full_dataset_fit_for_audit_only
activity_post_1d,compact13,logistic_balanced,13,outdoor_temperature__last_6h_mean_minus_prev_6h_mean,abs_coefficient,0.01588449782981068,0.0,full_dataset_fit_for_audit_only
activity_post_1d,compact13_high_missing_removed,random_forest_balanced_depth3,1,outdoor_temperature__last_minus_first,feature_importance,0.3231795835892844,0.0,full_dataset_fit_for_audit_only
activity_post_1d,compact13_high_missing_removed,random_forest_balanced_depth3,2,p_return_gap__last_minus_first,feature_importance,0.20215021096847755,0.2222222222222222,full_dataset_fit_for_audit_only
activity_post_1d,compact13_high_missing_removed,random_forest_balanced_depth3,3,outdoor_temperature__last_12h_mean_minus_prev_12h_mean,feature_importance,0.1339215470863889,0.0,full_dataset_fit_for_audit_only
activity_post_1d,compact13_high_missing_removed,random_forest_balanced_depth3,4,s_hc1_supply_temperature_error__last_minus_first,feature_importance,0.13350232004004453,0.0,full_dataset_fit_for_audit_only
activity_post_1d,compact13_high_missing_removed,random_forest_balanced_depth3,5,p_hc1_return_temperature__last_12h_mean_minus_prev_12h_mean,feature_importance,0.1225482462179968,0.0,full_dataset_fit_for_audit_only
activity_post_1d,compact13_high_missing_removed,random_forest_balanced_depth3,6,outdoor_temperature__last_6h_mean_minus_prev_6h_mean,feature_importance,0.08469809209780783,0.0,full_dataset_fit_for_audit_only
activity_post_1d,missingness_only,random_forest_balanced_depth3,1,p_net_return_temperature__last_1d_mean_minus_prev_6d_mean__is_missing,feature_importance,0.19644442827660172,0.0,full_dataset_fit_for_audit_only
activity_post_1d,missingness_only,random_forest_balanced_depth3,2,p_net_meter_flow__last_1d_std_minus_prev_6d_std__is_missing,feature_importance,0.15841926271875223,0.0,full_dataset_fit_for_audit_only
activity_post_1d,missingness_only,random_forest_balanced_depth3,3,p_return_gap__last_1d_mean_minus_prev_6d_mean__is_missing,feature_importance,0.1427701778385773,0.0,full_dataset_fit_for_audit_only
activity_post_1d,missingness_only,random_forest_balanced_depth3,4,s_hc1_supply_temperature__last_1d_std_minus_prev_6d_std__is_missing,feature_importance,0.13919949968730458,0.0,full_dataset_fit_for_audit_only
activity_post_1d,missingness_only,random_forest_balanced_depth3,5,s_hc1_supply_temperature__last_1d_mean_minus_prev_6d_mean__is_missing,feature_importance,0.1269403470549767,0.0,full_dataset_fit_for_audit_only
activity_post_1d,missingness_only,random_forest_balanced_depth3,6,p_hc1_return_temperature__last_1d_mean_minus_prev_6d_mean__is_missing,feature_importance,0.12,0.0,full_dataset_fit_for_audit_only
activity_post_1d,missingness_only,random_forest_balanced_depth3,7,s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean__is_missing,feature_importance,0.10666666666666667,0.0,full_dataset_fit_for_audit_only
activity_post_1d,missingness_only,random_forest_balanced_depth3,8,p_return_gap__last_minus_first__is_missing,feature_importance,0.009559617757120841,0.0,full_dataset_fit_for_audit_only
activity_post_1d,missingness_only,random_forest_balanced_depth3,9,s_hc1_supply_temperature_error__last_minus_first__is_missing,feature_importance,0.0,0.0,full_dataset_fit_for_audit_only
activity_post_1d,missingness_only,random_forest_balanced_depth3,10,p_hc1_return_temperature__last_12h_mean_minus_prev_12h_mean__is_missing,feature_importance,0.0,0.0,full_dataset_fit_for_audit_only
activity_post_1d,missingness_only,random_forest_balanced_depth3,11,outdoor_temperature__last_minus_first__is_missing,feature_importance,0.0,0.0,full_dataset_fit_for_audit_only
activity_post_1d,missingness_only,random_forest_balanced_depth3,12,outdoor_temperature__last_6h_mean_minus_prev_6h_mean__is_missing,feature_importance,0.0,0.0,full_dataset_fit_for_audit_only
activity_post_1d,missingness_only,random_forest_balanced_depth3,13,outdoor_temperature__last_12h_mean_minus_prev_12h_mean__is_missing,feature_importance,0.0,0.0,full_dataset_fit_for_audit_only
activity_post_1d_strict_no_overlap,compact13,random_forest_balanced_depth3,1,p_net_return_temperature__last_1d_mean_minus_prev_6d_mean,feature_importance,0.150486585707236,0.5454545454545454,full_dataset_fit_for_audit_only
activity_post_1d_strict_no_overlap,compact13,random_forest_balanced_depth3,2,p_hc1_return_temperature__last_1d_mean_minus_prev_6d_mean,feature_importance,0.1397339764477859,0.5454545454545454,full_dataset_fit_for_audit_only
activity_post_1d_strict_no_overlap,compact13,random_forest_balanced_depth3,3,p_return_gap__last_1d_mean_minus_prev_6d_mean,feature_importance,0.13906844703081206,0.5454545454545454,full_dataset_fit_for_audit_only
activity_post_1d_strict_no_overlap,compact13,random_forest_balanced_depth3,4,s_hc1_supply_temperature__last_1d_mean_minus_prev_6d_mean,feature_importance,0.13075318091306948,0.5454545454545454,full_dataset_fit_for_audit_only
activity_post_1d_strict_no_overlap,compact13,random_forest_balanced_depth3,5,s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean,feature_importance,0.12847071318413655,0.5454545454545454,full_dataset_fit_for_audit_only
activity_post_1d_strict_no_overlap,compact13,random_forest_balanced_depth3,6,p_net_meter_flow__last_1d_std_minus_prev_6d_std,feature_importance,0.12680294687892388,0.5454545454545454,full_dataset_fit_for_audit_only
activity_post_1d_strict_no_overlap,compact13,random_forest_balanced_depth3,7,s_hc1_supply_temperature__last_1d_std_minus_prev_6d_std,feature_importance,0.11512165777988527,0.5454545454545454,full_dataset_fit_for_audit_only
activity_post_1d_strict_no_overlap,compact13,random_forest_balanced_depth3,8,outdoor_temperature__last_minus_first,feature_importance,0.046854907549977634,0.0,full_dataset_fit_for_audit_only
