dataset_id,model,threshold,scope,fault_scope,window_policy,balanced_accuracy,recall,normal_fpr,candidate_pass,decision
all_systems__fault_leakage_water_loss__report_pre_1d,lightgbm_depth3,0.6,all_systems,fault_leakage_water_loss,report_pre_1d,0.8888888888888888,0.7777777777777778,0.0,True,window_model_candidate
all_systems__fault_control_controller__report_pre_3d,logistic_balanced,0.5,all_systems,fault_control_controller,report_pre_3d,0.8884615384615384,0.9,0.12307692307692308,True,window_model_candidate
all_systems__fault_pressure_regulator__report_pre_7d,logistic_balanced,0.5,all_systems,fault_pressure_regulator,report_pre_7d,0.8824175824175824,0.8571428571428571,0.09230769230769231,True,window_model_candidate
system_dhw_storage__all_faults__report_pre_1d,logistic_balanced,0.4,system_dhw_storage,all_faults,report_pre_1d,0.8823529411764706,1.0,0.23529411764705882,True,window_model_candidate
all_systems__all_faults__report_pre_3d,xgboost_depth3,0.4,all_systems,all_faults,report_pre_3d,0.8814102564102564,0.9166666666666666,0.15384615384615385,True,window_model_candidate
all_systems__fault_control_controller__report_pre_3d,logistic_balanced,0.4,all_systems,fault_control_controller,report_pre_3d,0.8769230769230769,1.0,0.24615384615384617,True,window_model_candidate
all_systems__fault_pump_failure__report_pre_1d,lightgbm_depth3,0.4,all_systems,fault_pump_failure,report_pre_1d,0.8769230769230769,0.8,0.046153846153846156,True,window_model_candidate
all_systems__fault_pump_failure__report_pre_1d,lightgbm_depth3,0.5,all_systems,fault_pump_failure,report_pre_1d,0.8769230769230769,0.8,0.046153846153846156,True,window_model_candidate
all_systems__fault_pump_failure__report_pre_1d,lightgbm_depth3,0.6,all_systems,fault_pump_failure,report_pre_1d,0.8769230769230769,0.8,0.046153846153846156,True,window_model_candidate
all_systems__fault_pressure_regulator__report_pre_1d,hist_gradient_boosting,0.4,all_systems,fault_pressure_regulator,report_pre_1d,0.875,0.75,0.0,True,window_model_candidate
all_systems__fault_pressure_regulator__report_pre_1d,hist_gradient_boosting,0.5,all_systems,fault_pressure_regulator,report_pre_1d,0.875,0.75,0.0,True,window_model_candidate
all_systems__fault_pressure_regulator__report_pre_1d,random_forest_depth3,0.6,all_systems,fault_pressure_regulator,report_pre_1d,0.875,0.75,0.0,True,window_model_candidate
all_systems__fault_pressure_regulator__report_pre_1d,xgboost_depth3,0.6,all_systems,fault_pressure_regulator,report_pre_1d,0.875,0.75,0.0,True,window_model_candidate
all_systems__all_faults__report_pre_7d,hist_gradient_boosting,0.5,all_systems,all_faults,report_pre_7d,0.8746317512274959,0.8723404255319149,0.12307692307692308,True,window_model_candidate
all_systems__all_faults__report_pre_7d,lightgbm_depth3,0.4,all_systems,all_faults,report_pre_7d,0.8746317512274959,0.8723404255319149,0.12307692307692308,True,window_model_candidate
all_systems__fault_pump_failure__report_pre_1d,xgboost_depth3,0.4,all_systems,fault_pump_failure,report_pre_1d,0.8692307692307693,0.8,0.06153846153846154,True,window_model_candidate
all_systems__all_faults__report_pre_1d,logistic_balanced,0.5,all_systems,all_faults,report_pre_1d,0.86875,0.9375,0.2,True,window_model_candidate
all_systems__all_faults__report_pre_3d,hist_gradient_boosting,0.4,all_systems,all_faults,report_pre_3d,0.86875,0.9375,0.2,True,window_model_candidate
all_systems__fault_pressure_regulator__report_pre_3d,logistic_balanced,0.4,all_systems,fault_pressure_regulator,report_pre_3d,0.8682692307692308,0.875,0.13846153846153847,True,window_model_candidate
all_systems__all_faults__report_pre_5d,hist_gradient_boosting,0.5,all_systems,all_faults,report_pre_5d,0.8677884615384616,0.8125,0.07692307692307693,True,window_model_candidate
all_systems__fault_leakage_water_loss__report_pre_1d,logistic_balanced,0.4,all_systems,fault_leakage_water_loss,report_pre_1d,0.8675213675213675,0.8888888888888888,0.15384615384615385,True,window_model_candidate
all_systems__fault_pressure_regulator__report_pre_1d,xgboost_depth3,0.5,all_systems,fault_pressure_regulator,report_pre_1d,0.8673076923076923,0.75,0.015384615384615385,True,window_model_candidate
system_dhw_storage_return__all_faults__report_pre_7d,lightgbm_depth3,0.4,system_dhw_storage_return,all_faults,report_pre_7d,0.8666666666666667,0.9,0.16666666666666666,True,window_model_candidate
system_dhw_storage_return__all_faults__report_pre_7d,lightgbm_depth3,0.5,system_dhw_storage_return,all_faults,report_pre_7d,0.8666666666666667,0.9,0.16666666666666666,True,window_model_candidate
all_systems__all_faults__report_pre_3d,lightgbm_depth3,0.6,all_systems,all_faults,report_pre_3d,0.8628205128205129,0.8333333333333334,0.1076923076923077,True,window_model_candidate
all_systems__all_faults__report_pre_3d,xgboost_depth3,0.6,all_systems,all_faults,report_pre_3d,0.8628205128205129,0.8333333333333334,0.1076923076923077,True,window_model_candidate
all_systems__all_faults__report_pre_7d,lightgbm_depth3,0.5,all_systems,all_faults,report_pre_7d,0.8610474631751228,0.8297872340425532,0.1076923076923077,True,window_model_candidate
system_heating_common_only__all_faults__report_pre_1d,lightgbm_depth3,0.4,system_heating_common_only,all_faults,report_pre_1d,0.8607954545454546,0.9090909090909091,0.1875,True,window_model_candidate
system_heating_common_only__all_faults__report_pre_1d,lightgbm_depth3,0.5,system_heating_common_only,all_faults,report_pre_1d,0.8607954545454546,0.9090909090909091,0.1875,True,window_model_candidate
system_heating_common_only__all_faults__report_pre_1d,lightgbm_depth3,0.6,system_heating_common_only,all_faults,report_pre_1d,0.8607954545454546,0.9090909090909091,0.1875,True,window_model_candidate
all_systems__all_faults__report_pre_3d,lightgbm_depth3,0.4,all_systems,all_faults,report_pre_3d,0.8605769230769231,0.875,0.15384615384615385,True,window_model_candidate
all_systems__fault_leakage_water_loss__report_pre_3d,logistic_balanced,0.4,all_systems,fault_leakage_water_loss,report_pre_3d,0.8598290598290599,0.8888888888888888,0.16923076923076924,True,window_model_candidate
all_systems__fault_pressure_regulator__report_pre_1d,lightgbm_depth3,0.6,all_systems,fault_pressure_regulator,report_pre_1d,0.8596153846153847,0.75,0.03076923076923077,True,window_model_candidate
all_systems__fault_pressure_regulator__report_pre_7d,logistic_balanced,0.4,all_systems,fault_pressure_regulator,report_pre_7d,0.8593406593406594,0.8571428571428571,0.13846153846153847,True,window_model_candidate
all_systems__fault_valve_actuator__report_pre_1d,logistic_balanced,0.5,all_systems,fault_valve_actuator,report_pre_1d,0.8593406593406594,0.8571428571428571,0.13846153846153847,True,window_model_candidate
all_systems__fault_leakage_water_loss__report_pre_3d,logistic_balanced,0.6,all_systems,fault_leakage_water_loss,report_pre_3d,0.8581196581196582,0.7777777777777778,0.06153846153846154,True,window_model_candidate
all_systems__fault_leakage_water_loss__report_pre_5d,logistic_balanced,0.6,all_systems,fault_leakage_water_loss,report_pre_5d,0.8581196581196582,0.7777777777777778,0.06153846153846154,True,window_model_candidate
all_systems__all_faults__report_pre_3d,random_forest_depth3,0.5,all_systems,all_faults,report_pre_3d,0.857852564102564,0.8541666666666666,0.13846153846153847,True,window_model_candidate
all_systems__all_faults__report_pre_3d,xgboost_depth3,0.5,all_systems,all_faults,report_pre_3d,0.857852564102564,0.8541666666666666,0.13846153846153847,True,window_model_candidate
all_systems__fault_valve_actuator__report_pre_1d,hist_gradient_boosting,0.6,all_systems,fault_valve_actuator,report_pre_1d,0.8571428571428572,0.7142857142857143,0.0,True,window_model_candidate
all_systems__fault_valve_actuator__report_pre_1d,random_forest_depth3,0.6,all_systems,fault_valve_actuator,report_pre_1d,0.8571428571428572,0.7142857142857143,0.0,True,window_model_candidate
all_systems__all_faults__report_pre_1d,logistic_balanced,0.4,all_systems,all_faults,report_pre_1d,0.8560897435897437,0.9583333333333334,0.24615384615384617,True,window_model_candidate
all_systems__all_faults__report_pre_5d,random_forest_depth3,0.5,all_systems,all_faults,report_pre_5d,0.8551282051282052,0.8333333333333334,0.12307692307692308,True,window_model_candidate
all_systems__all_faults__report_pre_5d,hist_gradient_boosting,0.6,all_systems,all_faults,report_pre_5d,0.8546474358974359,0.7708333333333334,0.06153846153846154,True,window_model_candidate
all_systems__fault_control_controller__report_pre_5d,logistic_balanced,0.6,all_systems,fault_control_controller,report_pre_5d,0.8538461538461539,0.8,0.09230769230769231,True,window_model_candidate
all_systems__all_faults__report_pre_7d,logistic_balanced,0.5,all_systems,all_faults,report_pre_7d,0.853355155482815,0.8297872340425532,0.12307692307692308,True,window_model_candidate
all_systems__fault_pressure_regulator__report_pre_1d,lightgbm_depth3,0.4,all_systems,fault_pressure_regulator,report_pre_1d,0.851923076923077,0.75,0.046153846153846156,True,window_model_candidate
all_systems__fault_pressure_regulator__report_pre_1d,lightgbm_depth3,0.5,all_systems,fault_pressure_regulator,report_pre_1d,0.851923076923077,0.75,0.046153846153846156,True,window_model_candidate
all_systems__fault_pressure_regulator__report_pre_1d,xgboost_depth3,0.4,all_systems,fault_pressure_regulator,report_pre_1d,0.851923076923077,0.75,0.046153846153846156,True,window_model_candidate
all_systems__all_faults__report_pre_7d,hist_gradient_boosting,0.4,all_systems,all_faults,report_pre_7d,0.8515548281505729,0.8723404255319149,0.16923076923076924,True,window_model_candidate
all_systems__all_faults__report_pre_7d,random_forest_depth3,0.5,all_systems,all_faults,report_pre_7d,0.8504091653027823,0.8085106382978723,0.1076923076923077,True,window_model_candidate
all_systems__all_faults__report_pre_3d,lightgbm_depth3,0.5,all_systems,all_faults,report_pre_3d,0.8501602564102564,0.8541666666666666,0.15384615384615385,True,window_model_candidate
all_systems__all_faults__report_pre_5d,xgboost_depth3,0.5,all_systems,all_faults,report_pre_5d,0.8501602564102564,0.8541666666666666,0.15384615384615385,True,window_model_candidate
all_systems__fault_pump_failure__report_pre_1d,hist_gradient_boosting,0.6,all_systems,fault_pump_failure,report_pre_1d,0.85,0.7,0.0,True,window_model_candidate
system_dhw_storage__all_faults__report_pre_7d,logistic_balanced,0.5,system_dhw_storage,all_faults,report_pre_7d,0.8485838779956427,0.8148148148148148,0.11764705882352941,True,window_model_candidate
all_systems__all_faults__report_pre_5d,logistic_balanced,0.5,all_systems,all_faults,report_pre_5d,0.8474358974358975,0.8333333333333334,0.13846153846153847,True,window_model_candidate
all_systems__all_faults__report_pre_5d,lightgbm_depth3,0.6,all_systems,all_faults,report_pre_5d,0.8447115384615385,0.8125,0.12307692307692308,True,window_model_candidate
all_systems__fault_leakage_water_loss__report_pre_5d,logistic_balanced,0.4,all_systems,fault_leakage_water_loss,report_pre_5d,0.8444444444444444,0.8888888888888888,0.2,True,window_model_candidate
all_systems__all_faults__report_pre_3d,hist_gradient_boosting,0.6,all_systems,all_faults,report_pre_3d,0.8442307692307692,0.75,0.06153846153846154,True,window_model_candidate
all_systems__fault_pressure_regulator__report_pre_3d,logistic_balanced,0.6,all_systems,fault_pressure_regulator,report_pre_3d,0.8442307692307692,0.75,0.06153846153846154,True,window_model_candidate
all_systems__fault_pressure_regulator__report_pre_5d,logistic_balanced,0.6,all_systems,fault_pressure_regulator,report_pre_5d,0.8442307692307692,0.75,0.06153846153846154,True,window_model_candidate
all_systems__fault_valve_actuator__report_pre_1d,logistic_balanced,0.4,all_systems,fault_valve_actuator,report_pre_1d,0.843956043956044,0.8571428571428571,0.16923076923076924,True,window_model_candidate
all_systems__all_faults__report_pre_3d,hist_gradient_boosting,0.5,all_systems,all_faults,report_pre_3d,0.8419871794871795,0.7916666666666666,0.1076923076923077,True,window_model_candidate
all_systems__fault_valve_actuator__report_pre_1d,lightgbm_depth3,0.4,all_systems,fault_valve_actuator,report_pre_1d,0.8417582417582418,0.7142857142857143,0.03076923076923077,True,window_model_candidate
