dataset_id,model,threshold,rows,normal_rows,pre_event_rows,balanced_accuracy,precision,recall,f1,normal_fpr,tn,fp,fn,tp
all_systems__fault_leakage_water_loss__report_pre_1d,lightgbm_depth3,0.5,74,65,9,0.8888888888888888,1.0,0.7777777777777778,0.875,0.0,65,0,2,7
all_systems__fault_leakage_water_loss__report_pre_1d,lightgbm_depth3,0.6,74,65,9,0.8888888888888888,1.0,0.7777777777777778,0.875,0.0,65,0,2,7
all_systems__fault_leakage_water_loss__report_pre_1d,logistic_balanced,0.4,74,65,9,0.8675213675213675,0.4444444444444444,0.8888888888888888,0.5925925925925926,0.15384615384615385,55,10,1,8
all_systems__fault_leakage_water_loss__report_pre_1d,logistic_balanced,0.5,74,65,9,0.8273504273504273,0.4666666666666667,0.7777777777777778,0.5833333333333334,0.12307692307692308,57,8,2,7
all_systems__fault_leakage_water_loss__report_pre_1d,logistic_balanced,0.6,74,65,9,0.8025641025641026,0.6,0.6666666666666666,0.631578947368421,0.06153846153846154,61,4,3,6
all_systems__fault_leakage_water_loss__report_pre_1d,random_forest_depth3,0.4,74,65,9,1.0,1.0,1.0,1.0,0.0,65,0,0,9
all_systems__fault_leakage_water_loss__report_pre_1d,random_forest_depth3,0.5,74,65,9,1.0,1.0,1.0,1.0,0.0,65,0,0,9
all_systems__fault_leakage_water_loss__report_pre_1d,random_forest_depth3,0.6,74,65,9,0.9444444444444444,1.0,0.8888888888888888,0.9411764705882353,0.0,65,0,1,8
all_systems__fault_leakage_water_loss__report_pre_1d,xgboost_depth3,0.4,74,65,9,0.9444444444444444,1.0,0.8888888888888888,0.9411764705882353,0.0,65,0,1,8
all_systems__fault_leakage_water_loss__report_pre_1d,xgboost_depth3,0.5,74,65,9,0.9444444444444444,1.0,0.8888888888888888,0.9411764705882353,0.0,65,0,1,8
all_systems__fault_leakage_water_loss__report_pre_1d,xgboost_depth3,0.6,74,65,9,0.9444444444444444,1.0,0.8888888888888888,0.9411764705882353,0.0,65,0,1,8
all_systems__fault_leakage_water_loss__report_pre_3d,dummy_most_frequent,0.4,74,65,9,0.5,0.0,0.0,0.0,0.0,65,0,9,0
all_systems__fault_leakage_water_loss__report_pre_3d,dummy_most_frequent,0.5,74,65,9,0.5,0.0,0.0,0.0,0.0,65,0,9,0
all_systems__fault_leakage_water_loss__report_pre_3d,dummy_most_frequent,0.6,74,65,9,0.5,0.0,0.0,0.0,0.0,65,0,9,0
all_systems__fault_leakage_water_loss__report_pre_3d,hist_gradient_boosting,0.4,74,65,9,0.5957264957264957,0.5,0.2222222222222222,0.3076923076923077,0.03076923076923077,63,2,7,2
all_systems__fault_leakage_water_loss__report_pre_3d,hist_gradient_boosting,0.5,74,65,9,0.49230769230769234,0.0,0.0,0.0,0.015384615384615385,64,1,9,0
all_systems__fault_leakage_water_loss__report_pre_3d,hist_gradient_boosting,0.6,74,65,9,0.5,0.0,0.0,0.0,0.0,65,0,9,0
all_systems__fault_leakage_water_loss__report_pre_3d,lightgbm_depth3,0.4,74,65,9,0.6358974358974359,0.42857142857142855,0.3333333333333333,0.375,0.06153846153846154,61,4,6,3
