strategy,evaluation_scope,feature_set,model,fallback_threshold,rows,normal_rows,pre_event_rows,balanced_accuracy,precision,recall,f1,normal_fpr,tn,fp,fn,tp
system_specific_threshold,M1_CV,common13,lightgbm_depth3,0.6,61,35,26,0.7082417582417582,0.6333333333333333,0.7307692307692307,0.6785714285714286,0.3142857142857143,24,11,7,19
system_specific_threshold,M1_to_M2,common13,lightgbm_depth3,0.6,51,30,21,0.8309523809523809,0.8421052631578947,0.7619047619047619,0.8,0.1,27,3,5,16
system_specific_threshold,M2_CV,common13,lightgbm_depth3,0.6,51,30,21,0.7976190476190477,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.16666666666666666,25,5,5,16
system_specific_threshold,M2_to_M1,common13,lightgbm_depth3,0.6,61,35,26,0.7461538461538462,0.72,0.6923076923076923,0.7058823529411765,0.2,28,7,8,18
system_specific_threshold,Pooled_M1_M2_group_CV,common13,lightgbm_depth3,0.6,112,65,47,0.8900163666121113,0.8723404255319149,0.8723404255319149,0.8723404255319149,0.09230769230769231,59,6,6,41
system_specific_threshold,M1_CV,common13,logistic_balanced,0.4,61,35,26,0.7653846153846153,0.7307692307692307,0.7307692307692307,0.7307692307692307,0.2,28,7,7,19
system_specific_threshold,M1_to_M2,common13,logistic_balanced,0.4,51,30,21,0.5571428571428572,0.45454545454545453,0.7142857142857143,0.5555555555555556,0.6,12,18,6,15
system_specific_threshold,M2_CV,common13,logistic_balanced,0.4,51,30,21,0.8952380952380952,0.9,0.8571428571428571,0.8780487804878049,0.06666666666666667,28,2,3,18
system_specific_threshold,M2_to_M1,common13,logistic_balanced,0.4,61,35,26,0.6785714285714286,0.7222222222222222,0.5,0.5909090909090909,0.14285714285714285,30,5,13,13
system_specific_threshold,Pooled_M1_M2_group_CV,common13,logistic_balanced,0.4,112,65,47,0.8474631751227496,0.8604651162790697,0.7872340425531915,0.8222222222222222,0.09230769230769231,59,6,10,37
system_specific_threshold,M1_CV,common13,logistic_balanced,0.5,61,35,26,0.7796703296703297,0.76,0.7307692307692307,0.7450980392156863,0.17142857142857143,29,6,7,19
system_specific_threshold,M1_to_M2,common13,logistic_balanced,0.5,51,30,21,0.5571428571428572,0.45454545454545453,0.7142857142857143,0.5555555555555556,0.6,12,18,6,15
system_specific_threshold,M2_CV,common13,logistic_balanced,0.5,51,30,21,0.8952380952380952,0.9,0.8571428571428571,0.8780487804878049,0.06666666666666667,28,2,3,18
system_specific_threshold,M2_to_M1,common13,logistic_balanced,0.5,61,35,26,0.6785714285714286,0.7222222222222222,0.5,0.5909090909090909,0.14285714285714285,30,5,13,13
system_specific_threshold,Pooled_M1_M2_group_CV,common13,logistic_balanced,0.5,112,65,47,0.8551554828150574,0.8809523809523809,0.7872340425531915,0.8314606741573034,0.07692307692307693,60,5,10,37
system_specific_threshold,M1_CV,common13,logistic_balanced,0.6,61,35,26,0.7796703296703297,0.76,0.7307692307692307,0.7450980392156863,0.17142857142857143,29,6,7,19
system_specific_threshold,M1_to_M2,common13,logistic_balanced,0.6,51,30,21,0.5571428571428572,0.45454545454545453,0.7142857142857143,0.5555555555555556,0.6,12,18,6,15
system_specific_threshold,M2_CV,common13,logistic_balanced,0.6,51,30,21,0.8952380952380952,0.9,0.8571428571428571,0.8780487804878049,0.06666666666666667,28,2,3,18
system_specific_threshold,M2_to_M1,common13,logistic_balanced,0.6,61,35,26,0.6785714285714286,0.7222222222222222,0.5,0.5909090909090909,0.14285714285714285,30,5,13,13
system_specific_threshold,Pooled_M1_M2_group_CV,common13,logistic_balanced,0.6,112,65,47,0.8551554828150574,0.8809523809523809,0.7872340425531915,0.8314606741573034,0.07692307692307693,60,5,10,37
system_specific_threshold,M1_CV,common13,random_forest_depth3,0.4,61,35,26,0.8131868131868132,0.8,0.7692307692307693,0.7843137254901961,0.14285714285714285,30,5,6,20
system_specific_threshold,M1_to_M2,common13,random_forest_depth3,0.4,51,30,21,0.6952380952380952,0.7333333333333333,0.5238095238095238,0.6111111111111112,0.13333333333333333,26,4,10,11
system_specific_threshold,M2_CV,common13,random_forest_depth3,0.4,51,30,21,0.8547619047619048,0.85,0.8095238095238095,0.8292682926829268,0.1,27,3,4,17
system_specific_threshold,M2_to_M1,common13,random_forest_depth3,0.4,61,35,26,0.7747252747252746,0.782608695652174,0.6923076923076923,0.7346938775510204,0.14285714285714285,30,5,8,18
system_specific_threshold,Pooled_M1_M2_group_CV,common13,random_forest_depth3,0.4,112,65,47,0.8474631751227496,0.8604651162790697,0.7872340425531915,0.8222222222222222,0.09230769230769231,59,6,10,37
