evaluation_scope,feature_set,model,threshold,rows,normal_rows,pre_event_rows,balanced_accuracy,precision,recall,f1,normal_fpr,tn,fp,fn,tp
M1_CV,standard_optional_dhw,hist_gradient_boosting,0.4,54,30,24,0.6083333333333334,0.56,0.5833333333333334,0.5714285714285714,0.36666666666666664,19,11,10,14
M1_CV,standard_optional_dhw,hist_gradient_boosting,0.5,54,30,24,0.5375,0.5,0.375,0.42857142857142855,0.3,21,9,15,9
M1_CV,standard_optional_dhw,hist_gradient_boosting,0.6,54,30,24,0.5416666666666667,0.5454545454545454,0.25,0.34285714285714286,0.16666666666666666,25,5,18,6
M1_CV,standard_optional_dhw,lightgbm_depth3,0.4,54,30,24,0.5,0.4444444444444444,0.5,0.47058823529411764,0.5,15,15,12,12
M1_CV,standard_optional_dhw,lightgbm_depth3,0.5,54,30,24,0.5083333333333333,0.45454545454545453,0.4166666666666667,0.43478260869565216,0.4,18,12,14,10
M1_CV,standard_optional_dhw,lightgbm_depth3,0.6,54,30,24,0.5416666666666666,0.5,0.4166666666666667,0.45454545454545453,0.3333333333333333,20,10,14,10
M1_CV,standard_optional_dhw,logistic_balanced,0.4,54,30,24,0.5708333333333333,0.52,0.5416666666666666,0.5306122448979592,0.4,18,12,11,13
M1_CV,standard_optional_dhw,logistic_balanced,0.5,54,30,24,0.5708333333333333,0.52,0.5416666666666666,0.5306122448979592,0.4,18,12,11,13
M1_CV,standard_optional_dhw,logistic_balanced,0.6,54,30,24,0.5874999999999999,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.36666666666666664,19,11,11,13
M1_CV,standard_optional_dhw,random_forest_depth3,0.4,54,30,24,0.3416666666666667,0.34146341463414637,0.5833333333333334,0.4307692307692308,0.9,3,27,10,14
M1_CV,standard_optional_dhw,random_forest_depth3,0.5,54,30,24,0.5583333333333333,0.5263157894736842,0.4166666666666667,0.46511627906976744,0.3,21,9,14,10
M1_CV,standard_optional_dhw,random_forest_depth3,0.6,54,30,24,0.575,0.6666666666666666,0.25,0.36363636363636365,0.1,27,3,18,6
M1_CV,standard_optional_dhw,random_forest_depth5,0.4,54,30,24,0.37916666666666665,0.36585365853658536,0.625,0.46153846153846156,0.8666666666666667,4,26,9,15
M1_CV,standard_optional_dhw,random_forest_depth5,0.5,54,30,24,0.5583333333333333,0.5263157894736842,0.4166666666666667,0.46511627906976744,0.3,21,9,14,10
M1_CV,standard_optional_dhw,random_forest_depth5,0.6,54,30,24,0.5958333333333333,0.7,0.2916666666666667,0.4117647058823529,0.1,27,3,17,7
M1_CV,standard_optional_dhw,xgboost_depth3,0.4,54,30,24,0.5041666666666667,0.4482758620689655,0.5416666666666666,0.49056603773584906,0.5333333333333333,14,16,11,13
M1_CV,standard_optional_dhw,xgboost_depth3,0.5,54,30,24,0.5291666666666667,0.4782608695652174,0.4583333333333333,0.46808510638297873,0.4,18,12,13,11
M1_CV,standard_optional_dhw,xgboost_depth3,0.6,54,30,24,0.5583333333333333,0.5263157894736842,0.4166666666666667,0.46511627906976744,0.3,21,9,14,10
M1_to_M2,common13,dummy_most_frequent,0.4,51,30,21,0.5,0.0,0.0,0.0,0.0,30,0,21,0
M1_to_M2,common13,dummy_most_frequent,0.5,51,30,21,0.5,0.0,0.0,0.0,0.0,30,0,21,0
