feature_set,model,threshold,m1_to_m2_balanced_accuracy,m2_to_m1_balanced_accuracy,pooled_balanced_accuracy,min_leave_manufacturer_ba,leave_manufacturer_ba_gap,min_recall,max_normal_fpr,m2_normal_fpr_vs_old_0_60,m2_fpr_improved_vs_old_failure,candidate_pass,decision
standard_common_plus_system,extra_trees_depth3,0.5,0.5333333333333333,0.5346153846153846,0.6044189852700491,0.5333333333333333,0.0012820512820512775,0.2692307692307692,0.3230769230769231,0.26666666666666666,True,False,label_window_recheck_required
standard_common,extra_trees_depth3,0.6,0.4904761904761905,0.5192307692307693,0.5271685761047463,0.4904761904761905,0.028754578754578763,0.038461538461538464,0.06666666666666667,0.06666666666666667,True,False,label_window_recheck_required
standard_optional_dhw,lightgbm_depth3,0.6,0.6255060728744939,0.5,0.580253723110866,0.5,0.1255060728744939,0.16666666666666666,0.24489795918367346,0.21052631578947367,True,False,label_window_recheck_required
common13,logistic_balanced,0.5,0.5571428571428572,0.6593406593406593,0.853355155482815,0.5571428571428572,0.10219780219780217,0.46153846153846156,0.6,0.6,False,False,label_window_recheck_required
standard_common_plus_system,lightgbm_depth3,0.5,0.5,0.5010989010989011,0.6150572831423895,0.5,0.001098901098901095,0.23076923076923078,0.3333333333333333,0.3333333333333333,True,False,label_window_recheck_required
standard_common_plus_system,lightgbm_depth3,0.4,0.6190476190476191,0.47307692307692306,0.5824877250409165,0.47307692307692306,0.145970695970696,0.34615384615384615,0.4307692307692308,0.3333333333333333,True,False,label_window_recheck_required
standard_optional_dhw,random_forest_depth5,0.6,0.4858299595141701,0.5041666666666667,0.5772200772200772,0.4858299595141701,0.01833670715249658,0.041666666666666664,0.14285714285714285,0.10526315789473684,True,False,label_window_recheck_required
common13,logistic_balanced,0.6,0.5571428571428572,0.6401098901098901,0.7759410801963993,0.5571428571428572,0.0829670329670329,0.4230769230769231,0.6,0.6,False,False,label_window_recheck_required
standard_common,lightgbm_depth3,0.5,0.5,0.5010989010989011,0.5996726677577742,0.5,0.001098901098901095,0.23076923076923078,0.35384615384615387,0.3333333333333333,True,False,label_window_recheck_required
standard_optional_dhw,lightgbm_depth3,0.5,0.6255060728744939,0.4708333333333333,0.5631549917264203,0.4708333333333333,0.15467273954116056,0.20833333333333334,0.30612244897959184,0.21052631578947367,True,False,label_window_recheck_required
standard_optional_dhw,random_forest_depth3,0.5,0.562753036437247,0.6333333333333333,0.5019305019305019,0.562753036437247,0.07058029689608636,0.23076923076923078,0.42857142857142855,0.10526315789473684,True,False,label_window_recheck_required
standard_common,lightgbm_depth3,0.4,0.6190476190476191,0.47307692307692306,0.5777414075286416,0.47307692307692306,0.145970695970696,0.34615384615384615,0.46153846153846156,0.3333333333333333,True,False,label_window_recheck_required
