evaluation_scope,feature_set,model,threshold,class,precision,recall,f1,support
M1_CV,standard_optional_dhw,lightgbm_depth3,0.6,pre_event,0.5,0.4166666666666667,0.45454545454545453,24
M1_CV,standard_optional_dhw,logistic_balanced,0.4,normal,0.6206896551724138,0.6,0.6101694915254238,30
M1_CV,standard_optional_dhw,logistic_balanced,0.4,pre_event,0.52,0.5416666666666666,0.5306122448979592,24
M1_CV,standard_optional_dhw,logistic_balanced,0.5,normal,0.6206896551724138,0.6,0.6101694915254238,30
M1_CV,standard_optional_dhw,logistic_balanced,0.5,pre_event,0.52,0.5416666666666666,0.5306122448979592,24
M1_CV,standard_optional_dhw,logistic_balanced,0.6,normal,0.6333333333333333,0.6333333333333333,0.6333333333333333,30
M1_CV,standard_optional_dhw,logistic_balanced,0.6,pre_event,0.5416666666666666,0.5416666666666666,0.5416666666666666,24
M1_CV,standard_optional_dhw,random_forest_depth3,0.4,normal,0.23076923076923078,0.1,0.13953488372093023,30
M1_CV,standard_optional_dhw,random_forest_depth3,0.4,pre_event,0.34146341463414637,0.5833333333333334,0.4307692307692308,24
M1_CV,standard_optional_dhw,random_forest_depth3,0.5,normal,0.6,0.7,0.6461538461538462,30
M1_CV,standard_optional_dhw,random_forest_depth3,0.5,pre_event,0.5263157894736842,0.4166666666666667,0.46511627906976744,24
M1_CV,standard_optional_dhw,random_forest_depth3,0.6,normal,0.6,0.9,0.72,30
M1_CV,standard_optional_dhw,random_forest_depth3,0.6,pre_event,0.6666666666666666,0.25,0.36363636363636365,24
M1_CV,standard_optional_dhw,random_forest_depth5,0.4,normal,0.3076923076923077,0.13333333333333333,0.18604651162790697,30
M1_CV,standard_optional_dhw,random_forest_depth5,0.4,pre_event,0.36585365853658536,0.625,0.46153846153846156,24
M1_CV,standard_optional_dhw,random_forest_depth5,0.5,normal,0.6,0.7,0.6461538461538462,30
M1_CV,standard_optional_dhw,random_forest_depth5,0.5,pre_event,0.5263157894736842,0.4166666666666667,0.46511627906976744,24
M1_CV,standard_optional_dhw,random_forest_depth5,0.6,normal,0.6136363636363636,0.9,0.7297297297297297,30
M1_CV,standard_optional_dhw,random_forest_depth5,0.6,pre_event,0.7,0.2916666666666667,0.4117647058823529,24
M1_CV,standard_optional_dhw,xgboost_depth3,0.4,normal,0.56,0.4666666666666667,0.509090909090909,30
M1_CV,standard_optional_dhw,xgboost_depth3,0.4,pre_event,0.4482758620689655,0.5416666666666666,0.49056603773584906,24
M1_CV,standard_optional_dhw,xgboost_depth3,0.5,normal,0.5806451612903226,0.6,0.5901639344262295,30
