evaluation_scope,feature_set,model,threshold,actual,predicted,count
M1_CV,standard_optional_dhw,random_forest_depth5,0.4,1,1,15
M1_CV,standard_optional_dhw,random_forest_depth5,0.5,0,0,21
M1_CV,standard_optional_dhw,random_forest_depth5,0.5,0,1,9
M1_CV,standard_optional_dhw,random_forest_depth5,0.5,1,0,14
M1_CV,standard_optional_dhw,random_forest_depth5,0.5,1,1,10
M1_CV,standard_optional_dhw,random_forest_depth5,0.6,0,0,27
M1_CV,standard_optional_dhw,random_forest_depth5,0.6,0,1,3
M1_CV,standard_optional_dhw,random_forest_depth5,0.6,1,0,17
M1_CV,standard_optional_dhw,random_forest_depth5,0.6,1,1,7
M1_CV,standard_optional_dhw,xgboost_depth3,0.4,0,0,14
M1_CV,standard_optional_dhw,xgboost_depth3,0.4,0,1,16
M1_CV,standard_optional_dhw,xgboost_depth3,0.4,1,0,11
M1_CV,standard_optional_dhw,xgboost_depth3,0.4,1,1,13
M1_CV,standard_optional_dhw,xgboost_depth3,0.5,0,0,18
