evaluation_scope,feature_set,model,threshold,rows,normal_rows,pre_event_rows,balanced_accuracy,precision,recall,f1,normal_fpr,tn,fp,fn,tp
M1_to_M2,standard_common_plus_system,lightgbm_depth3,0.5,51,30,21,0.5,0.4117647058823529,0.3333333333333333,0.3684210526315789,0.3333333333333333,20,10,14,7
M1_to_M2,standard_common_plus_system,lightgbm_depth3,0.6,51,30,21,0.5,0.4117647058823529,0.3333333333333333,0.3684210526315789,0.3333333333333333,20,10,14,7
M1_to_M2,standard_common_plus_system,logistic_balanced,0.4,51,30,21,0.5,0.4117647058823529,1.0,0.5833333333333334,1.0,0,30,0,21
M1_to_M2,standard_common_plus_system,logistic_balanced,0.5,51,30,21,0.5,0.4117647058823529,1.0,0.5833333333333334,1.0,0,30,0,21
M1_to_M2,standard_common_plus_system,logistic_balanced,0.6,51,30,21,0.5,0.4117647058823529,1.0,0.5833333333333334,1.0,0,30,0,21
M1_to_M2,standard_common_plus_system,random_forest_depth3,0.4,51,30,21,0.4738095238095238,0.39473684210526316,0.7142857142857143,0.5084745762711864,0.7666666666666667,7,23,6,15
M1_to_M2,standard_common_plus_system,random_forest_depth3,0.5,51,30,21,0.47619047619047616,0.375,0.2857142857142857,0.32432432432432434,0.3333333333333333,20,10,15,6
M1_to_M2,standard_common_plus_system,random_forest_depth3,0.6,51,30,21,0.48095238095238096,0.3333333333333333,0.09523809523809523,0.14814814814814814,0.13333333333333333,26,4,19,2
M1_to_M2,standard_common_plus_system,random_forest_depth5,0.4,51,30,21,0.4833333333333333,0.4,0.6666666666666666,0.5,0.7,9,21,7,14
M1_to_M2,standard_common_plus_system,random_forest_depth5,0.5,51,30,21,0.42857142857142855,0.2857142857142857,0.19047619047619047,0.22857142857142856,0.3333333333333333,20,10,17,4
M1_to_M2,standard_common_plus_system,random_forest_depth5,0.6,51,30,21,0.44047619047619047,0.16666666666666666,0.047619047619047616,0.07407407407407407,0.16666666666666666,25,5,20,1
M1_to_M2,standard_common_plus_system,xgboost_depth3,0.4,51,30,21,0.4357142857142857,0.3125,0.23809523809523808,0.2702702702702703,0.36666666666666664,19,11,16,5
M1_to_M2,standard_common_plus_system,xgboost_depth3,0.5,51,30,21,0.45238095238095233,0.3333333333333333,0.23809523809523808,0.2777777777777778,0.3333333333333333,20,10,16,5
M1_to_M2,standard_common_plus_system,xgboost_depth3,0.6,51,30,21,0.40476190476190477,0.23076923076923078,0.14285714285714285,0.17647058823529413,0.3333333333333333,20,10,18,3
M1_to_M2,standard_optional_dhw,dummy_most_frequent,0.4,32,19,13,0.5,0.0,0.0,0.0,0.0,19,0,13,0
M1_to_M2,standard_optional_dhw,dummy_most_frequent,0.5,32,19,13,0.5,0.0,0.0,0.0,0.0,19,0,13,0
M1_to_M2,standard_optional_dhw,dummy_most_frequent,0.6,32,19,13,0.5,0.0,0.0,0.0,0.0,19,0,13,0
M1_to_M2,standard_optional_dhw,extra_trees_depth3,0.4,32,19,13,0.5526315789473684,0.43333333333333335,1.0,0.6046511627906976,0.8947368421052632,2,17,0,13
M1_to_M2,standard_optional_dhw,extra_trees_depth3,0.5,32,19,13,0.4858299595141701,0.3333333333333333,0.07692307692307693,0.125,0.10526315789473684,17,2,12,1
M1_to_M2,standard_optional_dhw,extra_trees_depth3,0.6,32,19,13,0.5384615384615384,1.0,0.07692307692307693,0.14285714285714285,0.0,19,0,12,1
M1_to_M2,standard_optional_dhw,extra_trees_depth5,0.4,32,19,13,0.5303643724696356,0.42857142857142855,0.6923076923076923,0.5294117647058824,0.631578947368421,7,12,4,9
M1_to_M2,standard_optional_dhw,extra_trees_depth5,0.5,32,19,13,0.5242914979757085,0.5,0.15384615384615385,0.23529411764705882,0.10526315789473684,17,2,11,2
M1_to_M2,standard_optional_dhw,extra_trees_depth5,0.6,32,19,13,0.5384615384615384,1.0,0.07692307692307693,0.14285714285714285,0.0,19,0,12,1
M1_to_M2,standard_optional_dhw,hist_gradient_boosting,0.4,32,19,13,0.4676113360323887,0.375,0.46153846153846156,0.41379310344827586,0.5263157894736842,9,10,7,6
M1_to_M2,standard_optional_dhw,hist_gradient_boosting,0.5,32,19,13,0.4433198380566802,0.3333333333333333,0.3076923076923077,0.32,0.42105263157894735,11,8,9,4
M1_to_M2,standard_optional_dhw,hist_gradient_boosting,0.6,32,19,13,0.4331983805668016,0.2,0.07692307692307693,0.1111111111111111,0.21052631578947367,15,4,12,1
M1_to_M2,standard_optional_dhw,lightgbm_depth3,0.4,32,19,13,0.6255060728744939,0.6,0.46153846153846156,0.5217391304347826,0.21052631578947367,15,4,7,6
M1_to_M2,standard_optional_dhw,lightgbm_depth3,0.5,32,19,13,0.6255060728744939,0.6,0.46153846153846156,0.5217391304347826,0.21052631578947367,15,4,7,6
M1_to_M2,standard_optional_dhw,lightgbm_depth3,0.6,32,19,13,0.6255060728744939,0.6,0.46153846153846156,0.5217391304347826,0.21052631578947367,15,4,7,6
M1_to_M2,standard_optional_dhw,logistic_balanced,0.4,32,19,13,0.5,0.40625,1.0,0.5777777777777777,1.0,0,19,0,13
M1_to_M2,standard_optional_dhw,logistic_balanced,0.5,32,19,13,0.5,0.40625,1.0,0.5777777777777777,1.0,0,19,0,13
M1_to_M2,standard_optional_dhw,logistic_balanced,0.6,32,19,13,0.5,0.40625,1.0,0.5777777777777777,1.0,0,19,0,13
M1_to_M2,standard_optional_dhw,random_forest_depth3,0.4,32,19,13,0.5708502024291497,0.47058823529411764,0.6153846153846154,0.5333333333333333,0.47368421052631576,10,9,5,8
M1_to_M2,standard_optional_dhw,random_forest_depth3,0.5,32,19,13,0.562753036437247,0.6,0.23076923076923078,0.3333333333333333,0.10526315789473684,17,2,10,3
M1_to_M2,standard_optional_dhw,random_forest_depth3,0.6,32,19,13,0.47368421052631576,0.0,0.0,0.0,0.05263157894736842,18,1,13,0
M1_to_M2,standard_optional_dhw,random_forest_depth5,0.4,32,19,13,0.5060728744939271,0.4117647058823529,0.5384615384615384,0.4666666666666667,0.5263157894736842,9,10,6,7
M1_to_M2,standard_optional_dhw,random_forest_depth5,0.5,32,19,13,0.4838056680161943,0.375,0.23076923076923078,0.2857142857142857,0.2631578947368421,14,5,10,3
M1_to_M2,standard_optional_dhw,random_forest_depth5,0.6,32,19,13,0.4858299595141701,0.3333333333333333,0.07692307692307693,0.125,0.10526315789473684,17,2,12,1
M1_to_M2,standard_optional_dhw,xgboost_depth3,0.4,32,19,13,0.5607287449392713,0.5,0.38461538461538464,0.43478260869565216,0.2631578947368421,14,5,8,5
M1_to_M2,standard_optional_dhw,xgboost_depth3,0.5,32,19,13,0.4838056680161943,0.375,0.23076923076923078,0.2857142857142857,0.2631578947368421,14,5,10,3
M1_to_M2,standard_optional_dhw,xgboost_depth3,0.6,32,19,13,0.44534412955465585,0.2857142857142857,0.15384615384615385,0.2,0.2631578947368421,14,5,11,2
M2_to_M1,common13,dummy_most_frequent,0.4,61,35,26,0.5,0.0,0.0,0.0,0.0,35,0,26,0
M2_to_M1,common13,dummy_most_frequent,0.5,61,35,26,0.5,0.0,0.0,0.0,0.0,35,0,26,0
M2_to_M1,common13,dummy_most_frequent,0.6,61,35,26,0.5,0.0,0.0,0.0,0.0,35,0,26,0
M2_to_M1,common13,extra_trees_depth3,0.4,61,35,26,0.5901098901098901,0.48,0.9230769230769231,0.631578947368421,0.7428571428571429,9,26,2,24
M2_to_M1,common13,extra_trees_depth3,0.5,61,35,26,0.6214285714285714,0.5909090909090909,0.5,0.5416666666666666,0.2571428571428571,26,9,13,13
M2_to_M1,common13,extra_trees_depth3,0.6,61,35,26,0.5483516483516484,0.6666666666666666,0.15384615384615385,0.25,0.05714285714285714,33,2,22,4
M2_to_M1,common13,extra_trees_depth5,0.4,61,35,26,0.628021978021978,0.5111111111111111,0.8846153846153846,0.647887323943662,0.6285714285714286,13,22,3,23
M2_to_M1,common13,extra_trees_depth5,0.5,61,35,26,0.654945054945055,0.6363636363636364,0.5384615384615384,0.5833333333333334,0.22857142857142856,27,8,12,14
M2_to_M1,common13,extra_trees_depth5,0.6,61,35,26,0.5483516483516484,0.6666666666666666,0.15384615384615385,0.25,0.05714285714285714,33,2,22,4
M2_to_M1,common13,hist_gradient_boosting,0.4,61,35,26,0.6939560439560439,0.6129032258064516,0.7307692307692307,0.6666666666666666,0.34285714285714286,23,12,7,19
M2_to_M1,common13,hist_gradient_boosting,0.5,61,35,26,0.6697802197802198,0.6071428571428571,0.6538461538461539,0.6296296296296297,0.3142857142857143,24,11,9,17
M2_to_M1,common13,hist_gradient_boosting,0.6,61,35,26,0.7076923076923077,0.6956521739130435,0.6153846153846154,0.6530612244897959,0.2,28,7,10,16
